,date,utm_campaign,utm_source,utm_medium,user_count,session_count,hotel_id
0,2024-09-18,(organic),google,cpc,73,82,hotel_2
1,2024-09-18,(direct),(direct),(none),48,52,hotel_2
2,2024-09-18,(organic),google,organic,23,30,hotel_2
3,2024-09-18,(not set),google,cpc,23,25,hotel_2
4,2024-09-18,HU | GSN | PERF I Brand,google,cpc,17,22,hotel_2
5,2024-09-18,HU | pMAX | PERF I Brand,google,cpc,18,18,hotel_2
6,2024-09-18,HU | GSN | PERF I Lokáció,google,cpc,15,16,hotel_2
7,2024-09-18,AT | pMAX Hotel | PERF I Brand,google,cpc,8,11,hotel_2
8,2024-09-18,HU | GSN | PERF I Brand 2,google,cpc,8,9,hotel_2
9,2024-09-18,campaign_18,facebook,cpc,9,9,hotel_2
10,2024-09-18,campaign_17,facebook,cpc,9,9,hotel_2
11,2024-09-18,(referral),redir.d-edgeconnect.media,referral,7,8,hotel_2
12,2024-09-18,AT | GSN | PERF I Brand,google,cpc,5,5,hotel_2
13,2024-09-18,campaign_3,hirlevel,ct,4,5,hotel_2
14,2024-09-18,(not set),(not set),(not set),3,4,hotel_2
15,2024-09-18,(referral),facebook,referral,4,4,hotel_2
16,2024-09-18,DE | pMAX Hotel | PERF I Brand,google,cpc,4,4,hotel_2
17,2024-09-18,(organic),duckduckgo,organic,3,3,hotel_2
18,2024-09-18,(referral),google,cpc,1,2,hotel_2
19,2024-09-18,AT | GSN | Brand 2024,bing,cpc,2,2,hotel_2
20,2024-09-18,campaign_33,bing,cpc,1,2,hotel_2
21,2024-09-18,campaign_19,facebook,cpc,2,2,hotel_2
22,2024-09-18,campaign_2,ajanlat,offline,1,2,hotel_2
23,2024-09-18,(organic),bing,organic,1,1,hotel_2
24,2024-09-18,(referral),facebook,referral,1,1,hotel_2
25,2024-09-18,HU | GDN | ENGM I Programok '24,google,cpc,1,1,hotel_2
26,2024-09-18,campaign_27,google,cpc,1,1,hotel_2
27,2024-09-18,HU | GSN | Brand 2024,bing,cpc,1,1,hotel_2
28,2024-09-18,campaign_21,google,cpc,1,1,hotel_2
29,2024-09-18,campaign_23,google,cpc,1,1,hotel_2
30,2024-09-18,hirlevel_c1,hirlevel_s1,newsletter,1,1,hotel_2
31,2024-09-18,campaign_7,ajanlat,email,1,1,hotel_2
32,2024-09-19,campaign_7,ajanlat,email,2,2,hotel_2
33,2024-09-19,campaign_20,facebook,cpc,1,1,hotel_2
34,2024-09-19,(organic),google,organic,39,43,hotel_2
35,2024-09-19,(not set),google,cpc,15,15,hotel_2
36,2024-09-19,HU | GSN | PERF I Brand,google,cpc,15,15,hotel_2
37,2024-09-19,HU | pMAX | PERF I Brand,google,cpc,13,13,hotel_2
38,2024-09-19,HU | GSN | PERF I Brand 2,google,cpc,9,12,hotel_2
39,2024-09-19,HU | GSN | PERF I Lokáció,google,cpc,11,12,hotel_2
40,2024-09-19,campaign_18,facebook,cpc,8,8,hotel_2
41,2024-09-19,(organic),bing,organic,5,5,hotel_2
42,2024-09-19,AT | GSN | PERF I Brand,google,cpc,4,5,hotel_2
43,2024-09-19,AT | pMAX Hotel | PERF I Brand,google,cpc,4,5,hotel_2
44,2024-09-19,campaign_17,facebook,cpc,4,4,hotel_2
45,2024-09-19,campaign_21,google,cpc,3,3,hotel_2
46,2024-09-19,(referral),facebook,referral,2,2,hotel_2
47,2024-09-19,(referral),facebook,referral,2,2,hotel_2
48,2024-09-19,AT | GSN | PERF | Lokáció,google,cpc,2,2,hotel_2
49,2024-09-19,campaign_3,hirlevel,ct,2,2,hotel_2
50,2024-09-19,(organic),google,cpc,55,60,hotel_2
51,2024-09-19,(not set),(not set),(not set),0,1,hotel_2
52,2024-09-19,(referral),cdn.respond.io,referral,1,1,hotel_2
53,2024-09-19,(referral),redir.d-edgeconnect.media,referral,1,1,hotel_2
54,2024-09-19,(referral),thermenhotels.at,referral,1,1,hotel_2
55,2024-09-19,campaign_8,fb,paid,1,1,hotel_2
56,2024-09-19,AT | GSN | Brand 2024,bing,cpc,1,1,hotel_2
57,2024-09-19,CZ | GSN | PERF I Brand,google,cpc,1,1,hotel_2
58,2024-09-19,CZ | pMAX | PERF I Brand,google,cpc,1,1,hotel_2
59,2024-09-19,DE | pMAX Hotel | PERF I Brand,google,cpc,1,1,hotel_2
60,2024-09-19,campaign_13,hirlevel,ct,1,1,hotel_2
61,2024-09-19,campaign_33,bing,cpc,1,1,hotel_2
62,2024-09-19,HU | GDN | ENGM I Programok '24,google,cpc,1,1,hotel_2
63,2024-09-19,campaign_27,google,cpc,1,1,hotel_2
64,2024-09-19,HU | GSN | Brand 2024,bing,cpc,1,1,hotel_2
65,2024-09-19,campaign_19,facebook,cpc,1,1,hotel_2
66,2024-09-19,(direct),(direct),(none),43,45,hotel_2
67,2024-09-20,(organic),google,cpc,39,42,hotel_2
68,2024-09-20,(direct),(direct),(none),23,24,hotel_2
69,2024-09-20,(organic),google,organic,22,23,hotel_2
70,2024-09-20,HU | GSN | PERF I Brand,google,cpc,15,16,hotel_2
71,2024-09-20,campaign_18,facebook,cpc,15,15,hotel_2
72,2024-09-20,(not set),google,cpc,10,10,hotel_2
73,2024-09-20,HU | GSN | PERF I Brand 2,google,cpc,9,9,hotel_2
