,date,utm_campaign,utm_source,utm_medium,user_count,session_count,hotel_id
0,2024-09-18,(direct),(direct),(none),104,124,hotel_1
1,2024-09-18,(not set),google,cpc,59,59,hotel_1
2,2024-09-18,(organic),google,organic,37,40,hotel_1
3,2024-09-18,hu_brand,google,cpc,30,34,hotel_1
4,2024-09-18,campaign_16,google,cpc,23,25,hotel_1
5,2024-09-18,campaign_14,facebook,cpc,21,21,hotel_1
6,2024-09-18,campaign_15,google,cpc,18,19,hotel_1
7,2024-09-18,(referral),redir.d-edgeconnect.media,referral,12,12,hotel_1
8,2024-09-18,campaign_19,google,cpc,6,11,hotel_1
9,2024-09-18,hu_pmax_brand,google,cpc,8,9,hotel_1
10,2024-09-18,(organic),google,cpc,6,6,hotel_1
11,2024-09-18,(referral),source_1,referral,6,6,hotel_1
12,2024-09-18,(referral),facebook,referral,6,6,hotel_1
13,2024-09-18,(referral),facebook,referral,5,6,hotel_1
14,2024-09-18,campaign_17,google,cpc,5,6,hotel_1
15,2024-09-18,(referral),msn,referral,2,5,hotel_1
16,2024-09-18,campaign_18,facebook,cpc,5,5,hotel_1
17,2024-09-18,campaign_26,google,cpc,4,5,hotel_1
18,2024-09-18,campaign_22,google,cpc,4,4,hotel_1
19,2024-09-18,(not set),(not set),(not set),3,3,hotel_1
20,2024-09-18,campaign_20,google,cpc,3,3,hotel_1
21,2024-09-18,campaign_23,google,cpc,3,3,hotel_1
22,2024-09-18,(referral),hotelcms.hu,referral,2,2,hotel_1
23,2024-09-18,(referral),msn,referral,1,2,hotel_1
24,2024-09-18,campaign_28,bing,cpc,2,2,hotel_1
25,2024-09-18,campaign_24,google,cpc,2,2,hotel_1
26,2024-09-18,(organic),seznam,organic,1,1,hotel_1
27,2024-09-18,(referral),source_10,referral,1,1,hotel_1
28,2024-09-18,(referral),email.seznam.cz,referral,1,1,hotel_1
29,2024-09-18,(referral),google,referral,1,1,hotel_1
30,2024-09-18,(referral),statics.teams.cdn.office.net,referral,1,1,hotel_1
31,2024-09-18,campaign_8,fb,paid,1,1,hotel_1
32,2024-09-18,campaign_31,bing,cpc,1,1,hotel_1
33,2024-09-18,campaign_32,bing,cpc,1,1,hotel_1
34,2024-09-18,campaign_30,google,cpc,1,1,hotel_1
35,2024-09-18,campaign_25,google,cpc,1,1,hotel_1
36,2024-09-18,campaign_33,bing,cpc,1,1,hotel_1
37,2024-09-18,campaign_34,google,cpc,1,1,hotel_1
38,2024-09-18,campaign_21,facebook,cpc,1,1,hotel_1
39,2024-09-18,hirlevel_c3,source_9,newsletter,1,1,hotel_1
40,2024-09-18,utm_campaign,google,cpc,1,1,hotel_1
41,2024-09-19,campaign_24,google,cpc,2,4,hotel_1
42,2024-09-19,(not set),google,cpc,52,59,hotel_1
43,2024-09-19,(organic),google,organic,34,37,hotel_1
44,2024-09-19,campaign_16,google,cpc,26,35,hotel_1
45,2024-09-19,hu_brand,google,cpc,28,32,hotel_1
46,2024-09-19,campaign_14,facebook,cpc,19,20,hotel_1
47,2024-09-19,campaign_15,google,cpc,13,14,hotel_1
48,2024-09-19,(referral),facebook,referral,11,11,hotel_1
49,2024-09-19,(referral),redir.d-edgeconnect.media,referral,10,10,hotel_1
50,2024-09-19,campaign_18,facebook,cpc,10,10,hotel_1
51,2024-09-19,(not set),(not set),(not set),9,9,hotel_1
52,2024-09-19,hu_pmax_brand,google,cpc,7,8,hotel_1
53,2024-09-19,campaign_2,ajanlat,offline,4,7,hotel_1
54,2024-09-19,(referral),facebook,referral,6,6,hotel_1
55,2024-09-19,(referral),source_1,referral,5,5,hotel_1
56,2024-09-19,(referral),msn,referral,2,4,hotel_1
57,2024-09-19,campaign_19,google,cpc,4,4,hotel_1
58,2024-09-19,campaign_17,google,cpc,4,4,hotel_1
59,2024-09-19,campaign_23,google,cpc,4,4,hotel_1
60,2024-09-19,(direct),(direct),(none),55,63,hotel_1
61,2024-09-19,(organic),google,cpc,3,3,hotel_1
62,2024-09-19,proposal-by-phone,ajanlat,offline,3,3,hotel_1
63,2024-09-19,utm_campaign,google,cpc,2,3,hotel_1
64,2024-09-19,(organic),bing,organic,2,2,hotel_1
65,2024-09-19,(organic),seznam,organic,2,2,hotel_1
66,2024-09-19,(referral),facebook,referral,2,2,hotel_1
67,2024-09-19,campaign_25,google,cpc,2,2,hotel_1
68,2024-09-19,(referral),google,referral,1,1,hotel_1
69,2024-09-19,(referral),hotelcms.hu,referral,1,1,hotel_1
70,2024-09-19,(referral),instagram,referral,1,1,hotel_1
71,2024-09-19,(referral),msn,referral,1,1,hotel_1
72,2024-09-19,campaign_9,bing,cpc,1,1,hotel_1
73,2024-09-19,campaign_31,bing,cpc,1,1,hotel_1
74,2024-09-19,campaign_20,google,cpc,1,1,hotel_1
75,2024-09-19,campaign_22,google,cpc,1,1,hotel_1
76,2024-09-19,campaign_28,bing,cpc,1,1,hotel_1
77,2024-09-19,campaign_29,bing,cpc,1,1,hotel_1
78,2024-09-19,campaign_41,bing,cpc,1,1,hotel_1
79,2024-09-19,campaign_26,google,cpc,1,1,hotel_1
80,2024-09-19,hirlevel_c3,source_9,newsletter,1,1,hotel_1
81,2024-09-20,(direct),(direct),(none),51,64,hotel_1
82,2024-09-20,campaign_16,google,cpc,34,40,hotel_1
83,2024-09-20,hu_brand,google,cpc,35,39,hotel_1
84,2024-09-20,(organic),google,organic,36,36,hotel_1
85,2024-09-20,(not set),google,cpc,33,35,hotel_1
86,2024-09-20,campaign_14,facebook,cpc,20,20,hotel_1
87,2024-09-20,(referral),facebook,referral,7,8,hotel_1
88,2024-09-20,campaign_15,google,cpc,7,8,hotel_1
89,2024-09-20,campaign_18,facebook,cpc,8,8,hotel_1
90,2024-09-20,hu_pmax_brand,google,cpc,8,8,hotel_1
91,2024-09-20,(referral),facebook,referral,6,6,hotel_1
92,2024-09-20,campaign_19,google,cpc,5,6,hotel_1
93,2024-09-20,campaign_26,google,cpc,4,6,hotel_1
94,2024-09-20,(referral),facebook,referral,5,5,hotel_1
95,2024-09-20,campaign_28,bing,cpc,4,5,hotel_1
96,2024-09-20,(organic),google,cpc,4,4,hotel_1
97,2024-09-20,(referral),redir.d-edgeconnect.media,referral,3,4,hotel_1
98,2024-09-20,campaign_20,google,cpc,4,4,hotel_1
99,2024-09-20,(not set),(not set),(not set),2,3,hotel_1
100,2024-09-20,campaign_23,google,cpc,3,3,hotel_1
101,2024-09-20,campaign_2,ajanlat,offline,2,3,hotel_1
102,2024-09-20,(not set),google,organic,1,2,hotel_1
103,2024-09-20,(organic),seznam,organic,2,2,hotel_1
104,2024-09-20,(referral),instagram,referral,2,2,hotel_1
105,2024-09-20,campaign_9,bing,cpc,2,2,hotel_1
106,2024-09-20,(referral),source_1,referral,1,1,hotel_1
107,2024-09-20,(referral),source_13,referral,1,1,hotel_1
108,2024-09-20,campaign_31,bing,cpc,1,1,hotel_1
109,2024-09-20,campaign_30,google,cpc,1,1,hotel_1
110,2024-09-20,campaign_17,google,cpc,1,1,hotel_1
111,2024-09-20,campaign_33,bing,cpc,1,1,hotel_1
112,2024-09-20,campaign_27,google,cpc,1,1,hotel_1
113,2024-09-20,campaign_34,google,cpc,1,1,hotel_1
114,2024-09-20,campaign_13,bing,cpc,1,1,hotel_1
115,2024-09-20,campaign_22,google,cpc,1,1,hotel_1
116,2024-09-20,campaign_29,bing,cpc,1,1,hotel_1
117,2024-09-20,campaign_21,facebook,cpc,1,1,hotel_1
118,2024-09-20,campaign_24,google,cpc,1,1,hotel_1
119,2024-09-20,campaign_44,facebook,post,1,1,hotel_1
120,2024-09-20,utm_campaign,google,cpc,1,1,hotel_1
121,2024-09-21,campaign_20,google,cpc,4,4,hotel_1
122,2024-09-21,utm_campaign,google,cpc,1,1,hotel_1
123,2024-09-21,(direct),(direct),(none),35,40,hotel_1
124,2024-09-21,(not set),google,cpc,30,34,hotel_1
125,2024-09-21,campaign_16,google,cpc,30,34,hotel_1
126,2024-09-21,(referral),instagram,referral,20,21,hotel_1
127,2024-09-21,(referral),facebook,referral,18,18,hotel_1
128,2024-09-21,campaign_15,google,cpc,13,17,hotel_1
129,2024-09-21,campaign_14,facebook,cpc,17,17,hotel_1
130,2024-09-21,campaign_17,google,cpc,1,13,hotel_1
131,2024-09-21,hu_pmax_brand,google,cpc,8,9,hotel_1
132,2024-09-21,(referral),redir.d-edgeconnect.media,referral,6,6,hotel_1
133,2024-09-21,(referral),facebook,referral,5,5,hotel_1
134,2024-09-21,(referral),facebook,referral,5,5,hotel_1
135,2024-09-21,campaign_23,google,cpc,5,5,hotel_1
136,2024-09-21,campaign_18,facebook,cpc,4,5,hotel_1
137,2024-09-21,(not set),(not set),(not set),4,4,hotel_1
138,2024-09-21,hu_brand,google,cpc,41,44,hotel_1
139,2024-09-21,(organic),google,cpc,3,3,hotel_1
140,2024-09-21,(organic),seznam,organic,3,3,hotel_1
141,2024-09-21,campaign_19,google,cpc,3,3,hotel_1
142,2024-09-21,campaign_30,google,cpc,3,3,hotel_1
143,2024-09-21,(referral),source_1,referral,2,2,hotel_1
144,2024-09-21,campaign_7,ajanlat,email,1,2,hotel_1
145,2024-09-21,(referral),google,referral,0,1,hotel_1
146,2024-09-21,campaign_45,bing,cpc,1,1,hotel_1
147,2024-09-21,campaign_43,google,cpc,1,1,hotel_1
148,2024-09-21,campaign_25,google,cpc,1,1,hotel_1
149,2024-09-21,campaign_27,google,cpc,1,1,hotel_1
150,2024-09-21,campaign_21,facebook,cpc,1,1,hotel_1
151,2024-09-21,campaign_26,google,cpc,1,1,hotel_1
152,2024-09-21,proposal-by-phone,ajanlat,offline,1,1,hotel_1
153,2024-09-21,(organic),google,organic,39,43,hotel_1
154,2024-09-22,(organic),google,organic,45,52,hotel_1
155,2024-09-22,campaign_26,google,cpc,1,1,hotel_1
156,2024-09-22,campaign_16,google,cpc,55,67,hotel_1
157,2024-09-22,(not set),google,cpc,45,47,hotel_1
158,2024-09-22,hu_brand,google,cpc,35,37,hotel_1
159,2024-09-22,campaign_14,facebook,cpc,29,29,hotel_1
160,2024-09-22,campaign_19,google,cpc,16,20,hotel_1
161,2024-09-22,(referral),facebook,referral,15,17,hotel_1
162,2024-09-22,(referral),facebook,referral,14,14,hotel_1
163,2024-09-22,campaign_15,google,cpc,9,9,hotel_1
164,2024-09-22,campaign_18,facebook,cpc,9,9,hotel_1
165,2024-09-22,hu_pmax_brand,google,cpc,9,9,hotel_1
166,2024-09-22,campaign_17,google,cpc,6,8,hotel_1
167,2024-09-22,(not set),(not set),(not set),6,6,hotel_1
168,2024-09-22,(referral),redir.d-edgeconnect.media,referral,6,6,hotel_1
169,2024-09-22,campaign_20,google,cpc,5,6,hotel_1
170,2024-09-22,campaign_30,google,cpc,5,6,hotel_1
171,2024-09-22,(organic),seznam,organic,4,4,hotel_1
172,2024-09-22,(organic),google,cpc,1,3,hotel_1
173,2024-09-22,(referral),google,referral,3,3,hotel_1
174,2024-09-22,(referral),source_1,referral,3,3,hotel_1
175,2024-09-22,campaign_23,google,cpc,3,3,hotel_1
176,2024-09-22,campaign_22,google,cpc,3,3,hotel_1
177,2024-09-22,campaign_28,bing,cpc,3,3,hotel_1
178,2024-09-22,(organic),bing,organic,2,2,hotel_1
179,2024-09-22,(referral),facebook,referral,2,2,hotel_1
180,2024-09-22,campaign_31,bing,cpc,2,2,hotel_1
181,2024-09-22,campaign_24,google,cpc,2,2,hotel_1
182,2024-09-22,campaign_2,ajanlat,offline,1,2,hotel_1
183,2024-09-22,(organic),yahoo,organic,1,1,hotel_1
184,2024-09-22,(referral),source_10,referral,1,1,hotel_1
185,2024-09-22,(referral),instagram,referral,1,1,hotel_1
186,2024-09-22,(referral),instagram,referral,1,1,hotel_1
187,2024-09-22,(referral),msn,referral,1,1,hotel_1
188,2024-09-22,campaign_25,google,cpc,1,1,hotel_1
189,2024-09-22,campaign_34,google,cpc,1,1,hotel_1
190,2024-09-22,(direct),(direct),(none),43,52,hotel_1
191,2024-09-23,(referral),facebook,referral,13,13,hotel_1
192,2024-09-23,utm_campaign,google,cpc,1,1,hotel_1
193,2024-09-23,(organic),google,organic,48,59,hotel_1
194,2024-09-23,hu_brand,google,cpc,42,44,hotel_1
195,2024-09-23,campaign_16,google,cpc,35,38,hotel_1
196,2024-09-23,campaign_18,facebook,cpc,24,25,hotel_1
197,2024-09-23,campaign_14,facebook,cpc,15,15,hotel_1
198,2024-09-23,(referral),facebook,referral,14,14,hotel_1
199,2024-09-23,campaign_15,google,cpc,14,14,hotel_1
200,2024-09-23,(direct),(direct),(none),63,75,hotel_1
201,2024-09-23,hu_pmax_brand,google,cpc,10,11,hotel_1
202,2024-09-23,(not set),(not set),(not set),7,9,hotel_1
203,2024-09-23,(referral),source_1,referral,8,9,hotel_1
204,2024-09-23,(referral),redir.d-edgeconnect.media,referral,8,9,hotel_1
205,2024-09-23,campaign_19,google,cpc,9,9,hotel_1
206,2024-09-23,campaign_17,google,cpc,8,8,hotel_1
207,2024-09-23,campaign_20,google,cpc,3,4,hotel_1
208,2024-09-23,campaign_26,google,cpc,4,4,hotel_1
209,2024-09-23,(organic),bing,organic,3,3,hotel_1
210,2024-09-23,(referral),google,referral,3,3,hotel_1
211,2024-09-23,(referral),msn,referral,2,3,hotel_1
212,2024-09-23,proposal-by-phone,email,offline,2,3,hotel_1
213,2024-09-23,(referral),instagram,referral,2,2,hotel_1
