,id,uuid,session_id,utm_source,utm_medium,utm_campaign,hotel_id
0,4034,1145549807.1726611234,1726611549,,nan,(not set),hotel_1
1,4037,2039466988.1726611511,1726611615,facebook,cpc,campaign_1,hotel_1
2,4069,1556994523.1726611965,1726612033,google,cpc,,hotel_1
3,4102,901475575.1726612653,1726612722,google,cpc,,hotel_1
4,4145,408000469.1726614788,1726615007,,nan,(not set),hotel_1
5,4146,1097283936.1726622460,1726622848,,nan,(not set),hotel_1
6,4147,2046757301.1726624293,1726624385,facebook,cpc,campaign_1,hotel_1
7,4148,261439511.1726615929,1726625458,l.facebook.com,referral,(not set),hotel_1
8,4150,1877848240.1715013016,1726631197,,nan,(not set),hotel_1
9,4151,369265528.1726631243,1726631350,,nan,(not set),hotel_1
10,4153,1386321193.1726632616,1726632681,(direct),(not set),(not set),hotel_1
11,4154,1304073186.1726331667,1726632709,google,cpc,hu_pmax_brand,hotel_1
12,4155,270862531.1719673907,1726632769,,nan,(not set),hotel_1
13,4156,1312878807.1714135539,1726632829,,nan,(not set),hotel_1
14,4157,1020061150.1725873334,1726632907,google,cpc,(not set),hotel_1
15,4158,1522061108.1726546894,1726633304,facebook,cpc,campaign_1,hotel_1
16,4159,1533169429.1726633772,1726633874,,nan,(not set),hotel_1
17,4160,421794480.1726633853,1726634007,google,cpc,hu_pmax_brand,hotel_1
18,4161,1462885325.1726634368,1726634435,,nan,(not set),hotel_1
19,4162,810043846.1713843015,1726634565,google,cpc,hu_pmax_brand,hotel_1
20,4163,1971804983.1726634508,1726634568,,nan,(not set),hotel_1
21,4164,896673736.1726634444,1726634590,,nan,(not set),hotel_1
22,4165,1811629401.1726306412,1726634667,,nan,(not set),hotel_1
23,4166,439205377.1726634344,1726634750,,nan,(not set),hotel_1
24,4167,1524145074.1726634343,1726634850,,nan,(not set),hotel_1
25,4168,1845591774.1726634686,1726634850,(direct),(not set),(not set),hotel_1
26,4169,2114662708.1726559733,1726635033,,nan,(not set),hotel_1
27,4170,935700975.1726597701,1726635399,,nan,(not set),hotel_1
28,4171,836310086.1714714301,1726635435,,nan,(not set),hotel_1
29,4172,1975934372.1726083991,1726635936,google,cpc,hu_pmax_brand,hotel_1
30,4173,1530490764.1726467263,1726636230,google,organic,(not set),hotel_1
31,4174,368960446.1726465979,1726636302,,nan,(not set),hotel_1
32,4175,445722159.1726636245,1726636334,,nan,(not set),hotel_1
33,4176,993960798.1714038957,1726636651,google,cpc,hu_brand,hotel_1
34,4177,1408879783.1718880464,1726636666,www.kapu.hu,referral,(not set),hotel_1
35,4178,1165632336.1726199126,1726636965,facebook,cpc,campaign_1,hotel_1
36,4179,581180701.1726637100,1726637165,facebook,cpc,campaign_1,hotel_1
37,4180,1779497185.1726637280,1726637349,l.facebook.com,referral,(not set),hotel_1
38,4181,1776480123.1726637572,1726637615,google,cpc,hu_brand,hotel_1
39,4182,17167614.1726637360,1726637697,,nan,(not set),hotel_1
40,4183,bcc7d23a-0877-4a70-9e75-8688b1dd468a,1726637897,google,cpc,,hotel_1
41,4184,1486866591.1726637965,1726637998,google,organic,(not set),hotel_1
42,4185,1058973659.1726570404,1726638011,google,organic,(not set),hotel_1
43,4186,49306819.1714195638,1726638455,,nan,(not set),hotel_1
44,4187,1847500425.1726638272,1726638488,,nan,(not set),hotel_1
45,4188,1506793319.1722501130,1726638506,,nan,(not set),hotel_1
46,4190,1302856589.1714026790,1726638974,,nan,(not set),hotel_1
47,4191,132363178.1726639065,1726639152,,nan,(not set),hotel_1
48,4192,23952684.1724269803,1726639234,hirlevel+,other,campaign_4,hotel_1
49,4193,1187645351.1726639102,1726639383,,nan,(not set),hotel_1
50,4194,1850977178.1726639104,1726639401,,nan,(not set),hotel_1
51,4195,173120038.1722516160,1726639424,bing,cpc,HU ,hotel_1
52,4196,236271533.1726639374,1726639454,google,cpc,hu_brand,hotel_1
53,4197,545608939.1726639418,1726639536,,nan,(not set),hotel_1
54,4198,93147570.1726639584,1726639656,google,cpc,,hotel_1
55,4199,393873515.1726639658,1726639699,,nan,(not set),hotel_1
56,4200,1642810897.1721646769,1726640087,google,cpc,hu_brand,hotel_1
57,4201,1950145900.1719037949,1726640175,,nan,(not set),hotel_1
58,4202,533349741.1726640140,1726640236,google,cpc,,hotel_1
59,4203,1139637413.1714023792,1726640444,google,cpc,(not set),hotel_1
60,4204,1670086920.1726640377,1726640491,source_1,referral,(not set),hotel_1
61,4205,545608939.1726639418,1726640510,,nan,(not set),hotel_1
62,4206,1978930459.1726640594,1726640636,google,cpc,,hotel_1
63,4207,113451916.1715693313,1726640703,m.facebook.com,referral,(not set),hotel_1
64,4208,477178160.1726640839,1726640967,google,cpc,hu_brand,hotel_1
65,4209,1548998382.1725447458,1726641105,google,cpc,hu_brand,hotel_1
66,4210,274600008.1720526141,1726641137,google,cpc,hu_brand,hotel_1
67,4211,142519198.1714033404,1726641225,,nan,(not set),hotel_1
68,4212,1606162236.1725994494,1726641504,facebook,cpc,campaign_1,hotel_1
69,4213,1495489132.1723753501,1726641508,,nan,(not set),hotel_1
70,4214,1144010791.1726641455,1726641679,,nan,(not set),hotel_1
71,4215,17505362.1726640887,1726642125,google,cpc,hu_pmax_brand,hotel_1
72,4216,974648996.1726642336,1726642378,(direct),(not set),(not set),hotel_1
73,4217,1479618078.1726642344,1726642482,,nan,(not set),hotel_1
74,4218,2055688577.1657541888,1726642969,,nan,(not set),hotel_1
75,4219,2014207231.1726642950,1726642984,google,cpc,hu_pmax_brand,hotel_1
76,4220,857456411.1726643132,1726643345,,nan,(not set),hotel_1
77,4221,757503738.1726643628,1726643657,google,cpc,hu_brand,hotel_1
78,4222,2029133184.1726640463,1726643966,google,cpc,hu_pmax_brand,hotel_1
79,4223,199236435.1726643863,1726644189,google,cpc,hu_brand,hotel_1
80,4224,1589721620.1726644228,1726644335,,nan,(not set),hotel_1
81,4225,1648813315.1726644365,1726644545,,nan,(not set),hotel_1
82,4226,1543592370.1726644581,1726644647,google,cpc,,hotel_1
83,4227,1523664123.1726644311,1726644696,,nan,(not set),hotel_1
84,4228,1985552177.1726644691,1726644755,google,organic,(not set),hotel_1
85,4230,159302310.1716226817,1726644928,www.saferpay.com,referral,(not set),hotel_1
86,4231,1555601138.1713352288,1726644965,,nan,(not set),hotel_1
87,4232,1300508466.1725789190,1726645079,,nan,(not set),hotel_1
88,4233,1857271487.1726432501,1726645205,google,cpc,hu_brand,hotel_1
89,4234,1548998382.1725447458,1726645636,google,cpc,hu_brand,hotel_1
90,4235,2014207231.1726642950,1726645642,google,cpc,hu_pmax_brand,hotel_1
91,4236,507379468.1714135947,1726646093,,nan,(not set),hotel_1
92,4237,688422877.1726645898,1726646467,,nan,(not set),hotel_1
93,4238,1500005579.1726646484,1726646528,bing,cpc,HU ,hotel_1
94,4239,1418742699.1726301006,1726646700,google,cpc,,hotel_1
95,4240,1347090865.1716667486,1726646742,,nan,(not set),hotel_1
96,4241,1330070800.1726558597,1726646814,google,cpc,hu_brand,hotel_1
97,4242,1295818829.1726646811,1726646850,google,cpc,,hotel_1
98,4243,1048996059.1726646825,1726646919,,nan,(not set),hotel_1
99,4245,192467191.1726647644,1726647659,google,cpc,,hotel_1
100,4246,1875173877.1726252805,1726647704,facebook,cpc,campaign_1,hotel_1
101,4247,1005827152.1726647717,1726647809,(direct),(not set),(not set),hotel_1
102,4248,1716012950.1711040902,1726647891,hotelcms.hu,referral,(not set),hotel_1
103,4249,2139587838.1726647978,1726648120,google,cpc,,hotel_1
104,4250,2118681401.1726648050,1726648159,facebook,cpc,campaign_1,hotel_1
105,4251,2043832354.1726648176,1726648206,(direct),(not set),(not set),hotel_1
106,4252,2083278935.1726648448,1726648687,,nan,(not set),hotel_1
107,4253,1014954303.1721906770,1726648836,google,cpc,hu_brand,hotel_1
108,4254,1378464798.1726648738,1726648890,google,cpc,,hotel_1
109,4256,681529007.1726649116,1726649126,google,cpc,hu_brand,hotel_1
110,4257,1506793319.1722501130,1726649130,,nan,(not set),hotel_1
111,4258,1326858617.1719384033,1726649325,google,organic,(not set),hotel_1
112,4259,1971804983.1726634508,1726649431,,nan,(not set),hotel_1
113,4260,2026464436.1721416622,1726649481,,nan,(not set),hotel_1
114,4261,1317816484.1723026541,1726649510,redir.d-edgeconnect.media,referral,(not set),hotel_1
115,4262,1887440985.1726649482,1726649692,google,cpc,hu_brand,hotel_1
116,4263,1825161864.1726649931,1726649990,google,cpc,,hotel_1
117,4264,1662721219.1726649935,1726649995,facebook,cpc,campaign_1,hotel_1
118,4265,1749433535.1726649989,1726650038,google,cpc,,hotel_1
119,4266,1693069336.1726650045,1726650241,,nan,(not set),hotel_1
120,4267,954709922.1726650221,1726650260,google,cpc,(not set),hotel_1
121,4268,1738989295.1726650256,1726650291,google,cpc,hu_pmax_brand,hotel_1
122,4269,1549878545.1726650482,1726650517,google,cpc,,hotel_1
123,4270,532083202.1725342176,1726650619,google,cpc,(not set),hotel_1
124,4271,1290922908.1726650508,1726650753,google,cpc,,hotel_1
125,4272,1094961007.1726650745,1726650826,google,cpc,,hotel_1
126,4273,69243128.1726647331,1726650871,google,organic,(not set),hotel_1
127,4274,1326858617.1719384033,1726651097,google,cpc,hu_brand,hotel_1
128,4275,1787219046.1726215359,1726651162,google,cpc,hu_brand,hotel_1
129,4276,1618360682.1726651157,1726650619,google,cpc,(not set),hotel_1
130,4277,2142693567.1726226857,1726652119,redir.d-edgeconnect.media,referral,(not set),hotel_1
131,4278,1420973476.1726652127,1726652280,,nan,(not set),hotel_1
132,4279,447198934.1724667102,1726652570,google,cpc,(not set),hotel_1
133,4280,969008500.1726652537,1726652602,google,cpc,,hotel_1
134,4282,467622245.1726652630,1726652676,google,cpc,hu_brand,hotel_1
135,4283,1631793533.1726652599,1726652726,,nan,(not set),hotel_1
136,4284,164475533.1725877220,1726652767,redir.d-edgeconnect.media,referral,(not set),hotel_1
137,4285,1510677266.1716967029,1726652831,(direct),(not set),(not set),hotel_1
138,4286,1254076999.1726653136,1726653192,google,organic,(not set),hotel_1
139,4287,1250399114.1716796047,1726653197,,nan,(not set),hotel_1
140,4288,1881095537.1726653400,1726653255,google,organic,(not set),hotel_1
141,4289,453582933.1720004634,1726653272,,nan,(not set),hotel_1
142,4290,49643265.1726653481,1726653543,google,organic,(not set),hotel_1
143,4291,1731032086.1726653862,1726653959,google,organic,(not set),hotel_1
144,4292,738316457.1726654192,1726654221,google,cpc,,hotel_1
145,4293,1022819362.1726654389,1726654442,google,cpc,hu_brand,hotel_1
