,date,daily_google_spend,daily_microsoft_spend,daily_meta_spend,hotel_id
0,2024-09-18,128044,10564,35950,hotel_1
1,2024-09-19,137322,12048,53112,hotel_1
2,2024-09-20,124825,8484,61717,hotel_1
3,2024-09-21,106588,6976,64140,hotel_1
4,2024-09-22,144448,6684,73310,hotel_1
5,2024-09-23,154221,9368,118552,hotel_1
6,2024-09-24,116895,9052,121010,hotel_1
7,2024-09-25,99603,10196,112658,hotel_1
8,2024-09-26,100615,10556,112524,hotel_1
9,2024-09-27,82325,10924,49426,hotel_1
10,2024-09-28,77585,10252,39491,hotel_1
11,2024-09-29,74405,9656,39871,hotel_1
12,2024-09-30,75176,10240,22426,hotel_1
13,2024-10-01,94234,11304,13018,hotel_1
14,2024-10-02,117751,11788,21018,hotel_1
15,2024-10-03,125995,13284,19221,hotel_1
16,2024-10-04,110733,14876,18663,hotel_1
17,2024-10-05,111679,10516,20965,hotel_1
18,2024-10-06,117052,12108,22445,hotel_1
19,2024-10-07,114000,22296,21133,hotel_1
20,2024-10-08,136759,18924,27451,hotel_1
21,2024-10-09,141151,19988,28561,hotel_1
22,2024-10-10,137263,19344,31195,hotel_1
23,2024-10-11,118320,21984,31230,hotel_1
24,2024-10-12,128753,17868,30208,hotel_1
25,2024-10-13,145504,17420,33621,hotel_1
26,2024-10-14,97525,18228,25435,hotel_1
27,2024-10-15,138535,18020,45817,hotel_1
28,2024-10-16,103600,18052,62650,hotel_1
29,2024-10-17,96200,17804,69139,hotel_1
30,2024-10-18,102059,16908,66171,hotel_1
