,id,search_log_id,adults,children,picked_price,picked_room,hotel_id
0,3782,76486,2,0,,,hotel_2
1,3824,76528,2,0,,,hotel_2
2,3837,76541,2,0,,,hotel_2
3,3838,76542,2,0,,,hotel_2
4,3839,76543,2,3,,,hotel_2
5,3840,76544,2,0,,,hotel_2
6,3841,76545,2,3,,,hotel_2
7,3842,76546,2,2,,,hotel_2
8,3843,76547,2,2,,,hotel_2
9,3844,76548,2,2,,,hotel_2
10,3845,76549,2,0,,,hotel_2
11,3846,76550,2,0,,,hotel_2
12,3847,76551,2,0,,,hotel_2
13,3848,76552,2,0,,,hotel_2
14,3849,76553,2,0,,,hotel_2
15,3850,76554,2,0,,,hotel_2
16,3851,76555,2,0,,,hotel_2
17,3852,76556,2,0,,,hotel_2
18,3853,76556,0,1,,,hotel_2
19,3854,76557,2,0,,,hotel_2
20,3855,76558,2,1,,,hotel_2
21,3856,76559,2,1,,,hotel_2
22,3857,76560,2,2,,,hotel_2
23,3858,76561,2,1,,,hotel_2
24,3859,76562,2,1,,,hotel_2
25,3860,76563,2,0,,,hotel_2
26,3861,76564,2,0,,,hotel_2
27,3862,76565,2,0,,,hotel_2
28,3863,76566,2,0,,,hotel_2
29,3864,76567,2,1,,,hotel_2
30,3865,76568,2,0,,,hotel_2
31,3866,76569,2,0,,,hotel_2
32,3867,76570,2,1,,,hotel_2
33,3868,76571,2,0,,,hotel_2
34,3869,76572,1,0,,,hotel_2
35,3870,76573,2,0,,,hotel_2
36,3871,76574,2,0,,,hotel_2
37,3872,76575,2,2,,,hotel_2
38,3873,76576,2,2,,,hotel_2
39,3874,76577,2,2,,,hotel_2
40,3875,76578,2,1,,,hotel_2
41,3876,76578,1,1,,,hotel_2
42,3877,76579,2,0,,,hotel_2
43,3878,76580,2,0,,,hotel_2
44,3879,76581,2,1,,,hotel_2
45,3880,76582,1,0,,,hotel_2
46,3881,76583,2,0,,,hotel_2
47,3882,76584,2,0,,,hotel_2
48,3883,76585,2,0,,,hotel_2
49,3884,76586,2,2,,,hotel_2
50,3885,76587,2,2,,,hotel_2
51,3886,76588,2,0,,,hotel_2
52,3887,76589,2,0,,,hotel_2
53,3888,76590,2,0,,,hotel_2
54,3889,76591,2,0,,,hotel_2
55,3890,76592,2,1,,,hotel_2
56,3891,76593,2,1,,,hotel_2
57,3892,76594,2,1,,,hotel_2
58,3893,76595,2,0,,,hotel_2
59,3894,76596,3,0,,,hotel_2
60,3895,76597,2,2,,,hotel_2
61,3896,76598,2,0,,,hotel_2
62,3897,76599,2,0,,,hotel_2
63,3898,76600,2,0,,,hotel_2
64,3899,76601,2,0,,,hotel_2
65,3900,76602,2,0,,,hotel_2
66,3901,76603,2,0,,,hotel_2
67,3902,76604,2,0,,,hotel_2
68,3903,76605,2,1,,,hotel_2
69,3904,76606,2,0,,,hotel_2
70,3905,76607,2,1,,,hotel_2
71,3906,76608,2,1,,,hotel_2
72,3907,76609,2,1,,,hotel_2
73,3908,76610,2,3,,,hotel_2
74,3909,76611,2,0,,,hotel_2
75,3910,76612,2,0,,,hotel_2
76,3911,76613,2,0,,,hotel_2
77,3912,76614,2,2,,,hotel_2
78,3913,76615,2,0,,,hotel_2
