,date,utm_campaign,utm_source,utm_medium,user_count,session_count,hotel_id
0,2024-09-18,(organic),google,cpc,75,80,hotel_3
1,2024-09-18,(direct),(direct),(not set),73,76,hotel_3
2,2024-09-18,HU | GSN | PERF I Brand,google,cpc,45,52,hotel_3
3,2024-09-18,(organic),google,organic,37,42,hotel_3
4,2024-09-18,HU | pMAX | PERF I Brand,google,cpc,34,36,hotel_3
5,2024-09-18,(not set),google,cpc,16,17,hotel_3
6,2024-09-18,campaign_19,facebook,cpc,16,16,hotel_3
7,2024-09-18,campaign_20,facebook,cpc,12,12,hotel_3
8,2024-09-18,campaign_21,facebook,cpc,11,11,hotel_3
9,2024-09-18,(referral),redir.d-edgeconnect.media,referral,8,9,hotel_3
10,2024-09-18,campaign_22,google,cpc,8,9,hotel_3
11,2024-09-18,(not set),(not set),(not set),7,7,hotel_3
12,2024-09-18,(referral),facebook,referral,5,6,hotel_3
13,2024-09-18,(organic),bing,organic,4,5,hotel_3
14,2024-09-18,campaign_26,google,cpc,3,4,hotel_3
15,2024-09-18,(referral),instagram,referral,3,3,hotel_3
16,2024-09-18,campaign_25,google,cpc,3,3,hotel_3
17,2024-09-18,campaign_28,google,cpc,3,3,hotel_3
18,2024-09-18,hirlevel_c1,hirlevel_s1,newsletter,3,3,hotel_3
19,2024-09-18,(referral),facebook,referral,2,2,hotel_3
20,2024-09-18,(referral),google,referral,1,2,hotel_3
21,2024-09-18,campaign_24,google,cpc,2,2,hotel_3
22,2024-09-18,DE | pMAX | PERF I Brand,google,cpc,2,2,hotel_3
23,2024-09-18,(not set),google,organic,1,1,hotel_3
24,2024-09-18,(referral),email.seznam.cz,referral,1,1,hotel_3
25,2024-09-18,(referral),google,cpc,1,1,hotel_3
26,2024-09-18,(referral),hotelcms.hu,referral,1,1,hotel_3
27,2024-09-18,(referral),kereso.startlap.hu,referral,1,1,hotel_3
28,2024-09-18,(referral),source_1,referral,1,1,hotel_3
29,2024-09-18,(referral),facebook,referral,1,1,hotel_3
30,2024-09-18,(referral),otpbankdirekt.hu,referral,1,1,hotel_3
31,2024-09-18,campaign_27,google,cpc,1,1,hotel_3
32,2024-09-18,campaign_23,google,cpc,1,1,hotel_3
33,2024-09-18,campaign_29,google,cpc,1,1,hotel_3
34,2024-09-18,campaign_5,bing,cpc,1,1,hotel_3
35,2024-09-18,campaign_2,bing,cpc,1,1,hotel_3
36,2024-09-18,HU | GDN | ENGM I Programok '24,google,cpc,1,1,hotel_3
37,2024-09-18,HU | PERF | Lokáció - All,bing,cpc,1,1,hotel_3
38,2024-09-18,hirlevel_c4,hirlevel_s5,newsletter,1,1,hotel_3
39,2024-09-18,loyalty-email,loyalty,email,1,1,hotel_3
40,2024-09-18,proposal-by-phone,ajanlat,offline,1,1,hotel_3
