,id,search_log_room_id,age,baby_bed,hotel_id
0,1220,5755,10,0,hotel_3
1,1221,5757,13,0,hotel_3
2,1222,5769,4,0,hotel_3
3,1223,5770,6,0,hotel_3
4,1224,5771,6,0,hotel_3
5,1225,5771,4,0,hotel_3
6,1226,5772,6,0,hotel_3
7,1227,5772,12,0,hotel_3
8,1228,5774,4,0,hotel_3
9,1229,5775,6,0,hotel_3
10,1230,5776,6,0,hotel_3
11,1231,5776,12,0,hotel_3
12,1232,5777,6,0,hotel_3
13,1233,5777,12,0,hotel_3
14,1234,5778,6,0,hotel_3
15,1235,5778,4,0,hotel_3
16,1236,5779,6,0,hotel_3
17,1237,5779,4,0,hotel_3
18,1238,5786,10,0,hotel_3
19,1239,5789,10,0,hotel_3
20,1240,5790,10,0,hotel_3
21,1241,5811,15,0,hotel_3
22,1242,5811,17,0,hotel_3
23,1243,5813,15,0,hotel_3
24,1244,5816,0,0,hotel_3
25,1246,5824,7,0,hotel_3
26,1247,5824,4,0,hotel_3
27,1248,5824,4,0,hotel_3
28,1249,5830,10,0,hotel_3
29,1250,5830,15,0,hotel_3
30,1251,5830,14,0,hotel_3
31,1252,5844,15,0,hotel_3
32,1253,5855,2,0,hotel_3
33,1254,5866,9,0,hotel_3
34,1255,5867,9,0,hotel_3
35,1256,5868,2,0,hotel_3
36,1257,5869,9,0,hotel_3
37,1258,5870,2,0,hotel_3
38,1259,5871,9,0,hotel_3
39,1260,5875,9,0,hotel_3
40,1261,5876,9,0,hotel_3
41,1262,5877,9,0,hotel_3
42,1263,5879,9,0,hotel_3
43,1264,5883,9,0,hotel_3
44,1265,5891,8,0,hotel_3
45,1266,5891,8,0,hotel_3
46,1267,5891,5,0,hotel_3
47,1268,5893,13,0,hotel_3
48,1269,5900,11,0,hotel_3
49,1270,5901,11,0,hotel_3
50,1271,5913,13,0,hotel_3
51,1272,5914,15,0,hotel_3
52,1273,5917,13,0,hotel_3
53,1274,5917,15,0,hotel_3
54,1275,5919,7,0,hotel_3
55,1276,5919,7,0,hotel_3
56,1277,5924,12,0,hotel_3
57,1278,5925,4,0,hotel_3
58,1279,5925,4,0,hotel_3
59,1280,5928,4,0,hotel_3
60,1281,5928,4,0,hotel_3
61,1282,5936,6,0,hotel_3
62,1283,5941,13,0,hotel_3
63,1284,5941,15,0,hotel_3
64,1285,5947,3,0,hotel_3
65,1286,5947,5,0,hotel_3
66,1287,5966,5,0,hotel_3
67,1288,5972,0,0,hotel_3
68,1289,5973,0,0,hotel_3
69,1290,5977,0,0,hotel_3
70,1291,5980,0,0,hotel_3
71,1293,5999,1,0,hotel_3
72,1294,6011,5,0,hotel_3
73,1295,6015,6,0,hotel_3
74,1296,6015,11,0,hotel_3
75,1297,6020,1,1,hotel_3
76,1298,6021,14,0,hotel_3
77,1299,6021,8,0,hotel_3
78,1300,6021,3,0,hotel_3
79,1301,6022,14,0,hotel_3
80,1302,6022,7,0,hotel_3
81,1303,6023,3,0,hotel_3
82,1304,6024,2,1,hotel_3
83,1305,6040,0,0,hotel_3
84,1306,6040,3,0,hotel_3
85,1307,6054,13,0,hotel_3
86,1308,6054,15,0,hotel_3
87,1309,6055,14,0,hotel_3
88,1310,6055,15,0,hotel_3
89,1311,6057,13,0,hotel_3
90,1312,6057,15,0,hotel_3
91,1313,6058,14,0,hotel_3
92,1314,6058,15,0,hotel_3
93,1315,6059,12,0,hotel_3
94,1316,6059,15,0,hotel_3
95,1317,6060,13,0,hotel_3
96,1318,6060,15,0,hotel_3
97,1319,6061,14,0,hotel_3
98,1320,6061,15,0,hotel_3
99,1321,6062,12,0,hotel_3
100,1322,6062,15,0,hotel_3
101,1323,6069,1,0,hotel_3
102,1324,6069,2,0,hotel_3
103,1325,6076,10,0,hotel_3
104,1326,6077,5,0,hotel_3
105,1327,6077,5,0,hotel_3
106,1328,6079,2,1,hotel_3
107,1329,6080,2,1,hotel_3
108,1330,6081,2,1,hotel_3
109,1331,6084,10,0,hotel_3
110,1332,6085,10,0,hotel_3
111,1333,6086,2,1,hotel_3
112,1334,6086,4,0,hotel_3
113,1335,6087,9,0,hotel_3
114,1336,6089,1,0,hotel_3
115,1337,6089,2,0,hotel_3
116,1338,6096,4,0,hotel_3
117,1339,6096,0,1,hotel_3
118,1340,6103,15,0,hotel_3
119,1341,6103,17,0,hotel_3
120,1342,6118,1,1,hotel_3
121,1343,6118,4,0,hotel_3
122,1344,6123,15,0,hotel_3
123,1345,6123,15,0,hotel_3
124,1346,6125,10,0,hotel_3
125,1347,6125,17,0,hotel_3
126,1348,6127,10,0,hotel_3
127,1349,6127,17,0,hotel_3
128,1350,6128,17,0,hotel_3
129,1351,6130,10,0,hotel_3
130,1352,6130,17,0,hotel_3
131,1353,6132,10,0,hotel_3
132,1354,6132,17,0,hotel_3
133,1355,6134,10,0,hotel_3
134,1356,6134,17,0,hotel_3
135,1357,6135,10,0,hotel_3
136,1358,6135,17,0,hotel_3
137,1359,6139,11,0,hotel_3
138,1360,6140,11,0,hotel_3
139,1361,6142,10,0,hotel_3
140,1362,6142,17,0,hotel_3
141,1363,6143,10,0,hotel_3
142,1364,6143,17,0,hotel_3
143,1365,6144,10,0,hotel_3
144,1366,6144,17,0,hotel_3
145,1367,6145,6,0,hotel_3
146,1368,6146,6,0,hotel_3
147,1369,6148,3,0,hotel_3
148,1370,6153,9,0,hotel_3
149,1371,6166,12,0,hotel_3
150,1372,6167,13,0,hotel_3
151,1373,6173,2,1,hotel_3
152,1374,6173,4,0,hotel_3
153,1375,6175,4,0,hotel_3
154,1376,6175,7,0,hotel_3
155,1377,6175,9,0,hotel_3
156,1378,6180,6,0,hotel_3
157,1379,6180,8,0,hotel_3
158,1380,6182,9,0,hotel_3
159,1381,6183,7,0,hotel_3
160,1382,6183,9,0,hotel_3
161,1383,6183,11,0,hotel_3
162,1384,6185,8,0,hotel_3
163,1385,6185,14,0,hotel_3
164,1386,6188,7,0,hotel_3
165,1387,6188,9,0,hotel_3
166,1388,6188,11,0,hotel_3
167,1389,6189,14,0,hotel_3
168,1390,6198,8,0,hotel_3
169,1391,6199,8,0,hotel_3
170,1392,6215,16,0,hotel_3
171,1393,6215,17,0,hotel_3
172,1394,6215,17,0,hotel_3
173,1395,6216,16,0,hotel_3
174,1396,6217,17,0,hotel_3
175,1397,6217,17,0,hotel_3
176,1398,6218,16,0,hotel_3
177,1399,6219,17,0,hotel_3
178,1400,6220,16,0,hotel_3
179,1401,6221,17,0,hotel_3
180,1402,6230,17,0,hotel_3
181,1403,6233,4,0,hotel_3
182,1404,6233,6,0,hotel_3
183,1405,6239,3,0,hotel_3
184,1406,6239,2,0,hotel_3
185,1407,6245,0,1,hotel_3
