,id,uuid,session_id,utm_source,utm_medium,utm_campaign,hotel_id
0,4255,1534019404.1726608826,1726610240,,nan,(not set),hotel_3
1,4257,1544215904.1725304369,1726613742,google,organic,(not set),hotel_3
2,4258,2122792873.1726614284,1726614307,google,cpc,(not set),hotel_3
3,4259,85389975.1726614091,1726614366,google,cpc,(not set),hotel_3
4,4260,85389975.1726614091,1726618263,google,cpc,(not set),hotel_3
5,4261,1484598938.1722411850,1726622070,,nan,(not set),hotel_3
6,4262,957366568.1714088217,1726627204,l.facebook.com,referral,(not set),hotel_3
7,4263,499388700.1726628127,1726628166,google,organic,(not set),hotel_3
8,4264,887256123.1718476756,1726629503,google,cpc,(not set),hotel_3
9,4265,1623560660.1713989532,1726630482,,nan,(not set),hotel_3
10,4266,970010414.1721850204,1726630663,,nan,(not set),hotel_3
11,4267,1623560660.1713989532,1726630743,,nan,(not set),hotel_3
12,4268,1623560660.1713989532,1726631349,,nan,(not set),hotel_3
13,4269,2145309317.1726631555,1726631604,,nan,(not set),hotel_3
14,4270,493090045.1726632992,1726633048,,nan,(not set),hotel_3
15,4271,1728527294.1726633327,1726633388,google,cpc,(not set),hotel_3
16,4272,218822339.1726633440,1726633533,google,cpc,(not set),hotel_3
17,4273,1684514725.1726633574,1726633597,,nan,(not set),hotel_3
18,4274,1181902011.1721457838,1726633868,(direct),(not set),(not set),hotel_3
19,4275,1538208220.1721451668,1726633981,facebook,cpc,campaign_1,hotel_3
20,4276,1462885325.1726634368,1726634526,,nan,(not set),hotel_3
21,4277,439205377.1726634344,1726634649,,nan,(not set),hotel_3
22,4278,1971804983.1726634508,1726634662,,nan,(not set),hotel_3
23,4279,919535513.1726634607,1726634838,(direct),(not set),(not set),hotel_3
24,4280,604876604.1721536488,1726635021,google,cpc,(not set),hotel_3
25,4281,1218103037.1726634932,1726635022,google,cpc,(not set),hotel_3
26,4282,836310086.1714714301,1726635133,,nan,(not set),hotel_3
27,4283,1035466907.1720186912,1726635824,google,cpc,(not set),hotel_3
28,4284,1817262108.1726148817,1726636152,google,cpc,(not set),hotel_3
29,4286,1225513416.1725006719,1726637018,facebook,cpc,campaign_1,hotel_3
30,4287,1605045502.1726637015,1726637056,google,cpc,(not set),hotel_3
31,4288,1602427976.1726636968,1726637117,,nan,(not set),hotel_3
32,4289,1165632336.1726199126,1726637232,facebook,cpc,campaign_1,hotel_3
33,4290,1889930189.1724078980,1726637312,,nan,(not set),hotel_3
34,4291,1797841328.1726637146,1726637372,,nan,(not set),hotel_3
35,4292,1068486913.1726637351,1726637394,google,cpc,(not set),hotel_3
36,4293,888771995.1726637288,1726637417,,nan,(not set),hotel_3
37,4294,884002205.1726633136,1726637650,google,cpc,(not set),hotel_3
38,4295,1845768392.1726637863,1726637901,google,organic,(not set),hotel_3
39,4296,384819886.1716989033,1726637970,,nan,(not set),hotel_3
40,4297,942542722.1726516756,1726638048,google,cpc,(not set),hotel_3
41,4298,27690155.1726638032,1726638062,facebook,cpc,campaign_1,hotel_3
42,4299,112414870.1726638306,1726638345,facebook,cpc,campaign_1,hotel_3
