"id";"search_log_id";"adults";"children";"picked_room";"picked_price";"picked_room"
"5794";"112645";"2";"0";NULL;NULL;NULL
"5797";"112648";"2";"1";NULL;NULL;NULL
"5829";"112680";"2";"0";NULL;NULL;NULL
"5831";"112682";"4";"0";NULL;NULL;NULL
"5863";"112714";"2";"0";NULL;NULL;NULL
"5906";"112757";"2";"0";NULL;NULL;NULL
"5907";"112758";"2";"0";NULL;NULL;NULL
"5908";"112759";"2";"0";NULL;NULL;NULL
"5909";"112760";"2";"0";NULL;NULL;NULL
"5910";"112761";"2";"0";NULL;NULL;NULL
"5911";"112762";"2";"0";NULL;NULL;NULL
"5913";"112764";"2";"0";NULL;NULL;NULL
"5914";"112765";"2";"0";NULL;NULL;NULL
"5915";"112766";"2";"3";NULL;NULL;NULL
"5916";"112767";"2";"3";NULL;NULL;NULL
"5917";"112768";"2";"3";NULL;NULL;NULL
"5919";"112770";"2";"1";NULL;NULL;NULL
"5920";"112771";"2";"0";NULL;NULL;NULL
"5921";"112772";"2";"0";NULL;NULL;NULL
"5922";"112773";"2";"2";NULL;NULL;NULL
"5923";"112774";"2";"2";NULL;NULL;NULL
"5924";"112775";"2";"2";NULL;NULL;NULL
"5925";"112776";"1";"1";NULL;NULL;NULL
"5926";"112776";"1";"1";NULL;NULL;NULL
"5927";"112777";"2";"0";NULL;NULL;NULL
"5928";"112778";"2";"0";NULL;NULL;NULL
"5929";"112779";"2";"0";NULL;NULL;NULL
"5930";"112780";"2";"0";NULL;NULL;NULL
"5931";"112781";"2";"0";NULL;NULL;NULL
"5932";"112782";"2";"0";NULL;NULL;NULL
"5933";"112783";"2";"0";NULL;NULL;NULL
"5934";"112784";"2";"0";NULL;NULL;NULL
"5935";"112785";"2";"0";NULL;NULL;NULL
"5936";"112786";"2";"0";NULL;NULL;NULL
"5937";"112787";"2";"0";NULL;NULL;NULL
"5938";"112788";"2";"0";NULL;NULL;NULL
"5939";"112789";"2";"0";NULL;NULL;NULL
"5940";"112790";"2";"3";NULL;NULL;NULL
"5941";"112791";"2";"0";NULL;NULL;NULL
"5942";"112792";"2";"0";NULL;NULL;NULL
"5943";"112793";"2";"0";NULL;NULL;NULL
"5944";"112794";"2";"3";NULL;NULL;NULL
"5945";"112795";"2";"2";NULL;NULL;NULL
"5946";"112796";"2";"0";NULL;NULL;NULL
"5947";"112797";"2";"0";NULL;NULL;NULL
"5948";"112798";"2";"0";NULL;NULL;NULL
"5949";"112799";"2";"3";NULL;NULL;NULL
"5950";"112800";"2";"0";NULL;NULL;NULL
"5951";"112801";"2";"0";NULL;NULL;NULL
"5952";"112802";"2";"0";NULL;NULL;NULL
"5953";"112803";"3";"0";NULL;NULL;NULL
"5954";"112804";"2";"1";NULL;NULL;NULL
"5955";"112804";"1";"1";NULL;NULL;NULL
"5956";"112805";"2";"0";NULL;NULL;NULL
"5957";"112806";"2";"2";NULL;NULL;NULL
"5958";"112807";"3";"0";NULL;NULL;NULL
"5959";"112808";"2";"1";NULL;NULL;NULL
"5960";"112809";"2";"0";NULL;NULL;NULL
"5961";"112810";"2";"1";NULL;NULL;NULL
"5962";"112811";"2";"0";NULL;NULL;NULL
"5963";"112812";"2";"2";NULL;NULL;NULL
"5964";"112813";"1";"1";NULL;NULL;NULL
"5965";"112813";"1";"1";NULL;NULL;NULL
"5966";"112814";"2";"2";NULL;NULL;NULL
"5967";"112815";"2";"0";NULL;NULL;NULL
"5968";"112816";"2";"0";NULL;NULL;NULL
