"date";"utm_source_and_medium";"utm_campaign";"user_count";"session_count"
"2024-09-18";"google / cpc";"(organic)";"73";"82"
"2024-09-18";"(direct) / (none)";"(direct)";"48";"52"
"2024-09-18";"google / organic";"(organic)";"23";"30"
"2024-09-18";"google / cpc";"(not set)";"23";"25"
"2024-09-18";"google / cpc";"HU | GSN | PERF I Brand";"17";"22"
"2024-09-18";"google / cpc";"HU | pMAX | PERF I Brand";"18";"18"
"2024-09-18";"google / cpc";"HU | GSN | PERF I Lokáció";"15";"16"
"2024-09-18";"google / cpc";"AT | pMAX Hotel | PERF I Brand";"8";"11"
"2024-09-18";"google / cpc";"HU | GSN | PERF I Brand 2";"8";"9"
"2024-09-18";"facebook / cpc";"campaign_18";"9";"9"
"2024-09-18";"facebook / cpc";"campaign_17";"9";"9"
"2024-09-18";"redir.d-edgeconnect.media / referral";"(referral)";"7";"8"
"2024-09-18";"google / cpc";"AT | GSN | PERF I Brand";"5";"5"
"2024-09-18";"hirlevel / ct";"campaign_3";"4";"5"
"2024-09-18";"(not set)";"(not set)";"3";"4"
"2024-09-18";"l.facebook.com / referral";"(referral)";"4";"4"
"2024-09-18";"google / cpc";"DE | pMAX Hotel | PERF I Brand";"4";"4"
"2024-09-18";"duckduckgo / organic";"(organic)";"3";"3"
"2024-09-18";"google / cpc";"(referral)";"1";"2"
"2024-09-18";"bing / cpc";"AT | GSN | Brand 2024";"2";"2"
"2024-09-18";"bing / cpc";"campaign_33";"1";"2"
"2024-09-18";"facebook / cpc";"campaign_19";"2";"2"
"2024-09-18";"ajanlat / offline";"campaign_2";"1";"2"
"2024-09-18";"bing / organic";"(organic)";"1";"1"
"2024-09-18";"m.facebook.com / referral";"(referral)";"1";"1"
"2024-09-18";"google / cpc";"HU | GDN | ENGM I Programok '24";"1";"1"
"2024-09-18";"google / cpc";"campaign_27";"1";"1"
"2024-09-18";"bing / cpc";"HU | GSN | Brand 2024";"1";"1"
"2024-09-18";"google / cpc";"campaign_21";"1";"1"
"2024-09-18";"google / cpc";"campaign_23";"1";"1"
"2024-09-18";"hirlevel_s1";"hirlevel_c1";"1";"1"
"2024-09-18";"ajanlat / email";"campaign_7";"1";"1"
"2024-09-19";"ajanlat / email";"campaign_7";"2";"2"
"2024-09-19";"facebook / cpc";"campaign_20";"1";"1"
"2024-09-19";"google / organic";"(organic)";"39";"43"
"2024-09-19";"google / cpc";"(not set)";"15";"15"
"2024-09-19";"google / cpc";"HU | GSN | PERF I Brand";"15";"15"
"2024-09-19";"google / cpc";"HU | pMAX | PERF I Brand";"13";"13"
"2024-09-19";"google / cpc";"HU | GSN | PERF I Brand 2";"9";"12"
"2024-09-19";"google / cpc";"HU | GSN | PERF I Lokáció";"11";"12"
"2024-09-19";"facebook / cpc";"campaign_18";"8";"8"
"2024-09-19";"bing / organic";"(organic)";"5";"5"
"2024-09-19";"google / cpc";"AT | GSN | PERF I Brand";"4";"5"
"2024-09-19";"google / cpc";"AT | pMAX Hotel | PERF I Brand";"4";"5"
"2024-09-19";"facebook / cpc";"campaign_17";"4";"4"
"2024-09-19";"google / cpc";"campaign_21";"3";"3"
"2024-09-19";"l.facebook.com / referral";"(referral)";"2";"2"
"2024-09-19";"m.facebook.com / referral";"(referral)";"2";"2"
"2024-09-19";"google / cpc";"AT | GSN | PERF | Lokáció";"2";"2"
"2024-09-19";"hirlevel / ct";"campaign_3";"2";"2"
"2024-09-19";"google / cpc";"(organic)";"55";"60"
"2024-09-19";"(not set)";"(not set)";"0";"1"
"2024-09-19";"cdn.respond.io / referral";"(referral)";"1";"1"
"2024-09-19";"redir.d-edgeconnect.media / referral";"(referral)";"1";"1"
"2024-09-19";"thermenhotels.at / referral";"(referral)";"1";"1"
"2024-09-19";"fb / paid";"campaign_8";"1";"1"
"2024-09-19";"bing / cpc";"AT | GSN | Brand 2024";"1";"1"
"2024-09-19";"google / cpc";"CZ | GSN | PERF I Brand";"1";"1"
"2024-09-19";"google / cpc";"CZ | pMAX | PERF I Brand";"1";"1"
"2024-09-19";"google / cpc";"DE | pMAX Hotel | PERF I Brand";"1";"1"
"2024-09-19";"hirlevel / ct";"campaign_13";"1";"1"
"2024-09-19";"bing / cpc";"campaign_33";"1";"1"
"2024-09-19";"google / cpc";"HU | GDN | ENGM I Programok '24";"1";"1"
"2024-09-19";"google / cpc";"campaign_27";"1";"1"
"2024-09-19";"bing / cpc";"HU | GSN | Brand 2024";"1";"1"
"2024-09-19";"facebook / cpc";"campaign_19";"1";"1"
"2024-09-19";"(direct) / (none)";"(direct)";"43";"45"
"2024-09-20";"google / cpc";"(organic)";"39";"42"
"2024-09-20";"(direct) / (none)";"(direct)";"23";"24"
"2024-09-20";"google / organic";"(organic)";"22";"23"
"2024-09-20";"google / cpc";"HU | GSN | PERF I Brand";"15";"16"
"2024-09-20";"facebook / cpc";"campaign_18";"15";"15"
"2024-09-20";"google / cpc";"(not set)";"10";"10"
"2024-09-20";"google / cpc";"HU | GSN | PERF I Brand 2";"9";"9"
"2024-09-20";"m.facebook.com / referral";"(referral)";"6";"6"
"2024-09-20";"google / cpc";"HU | pMAX | PERF I Brand";"6";"6"
"2024-09-20";"google / cpc";"AT | GSN | PERF I Brand";"3";"5"
"2024-09-20";"facebook / cpc";"campaign_17";"5";"5"
"2024-09-20";"yahoo / organic";"(organic)";"1";"4"
"2024-09-20";"bing / cpc";"HU | GSN | Brand 2024";"4";"4"
"2024-09-20";"(not set)";"(not set)";"2";"3"
"2024-09-20";"google / cpc";"HU | GSN | PERF I Lokáció";"3";"3"
"2024-09-20";"facebook / cpc";"campaign_19";"3";"3"
"2024-09-20";"(direct) / (none)";"(not set)";"2";"2"
"2024-09-20";"l.facebook.com / referral";"(referral)";"2";"2"
"2024-09-20";"google / cpc";"AT | pMAX Hotel | PERF I Brand";"2";"2"
"2024-09-20";"bing / cpc";"campaign_33";"2";"2"
"2024-09-20";"cdn.respond.io / referral";"(referral)";"1";"1"
