"id";"search_log_room_id";"age";"baby_bed"
"1398";"3839";"14";"0"
"1399";"3839";"12";"0"
"1400";"3839";"7";"0"
"1401";"3841";"1";"0"
"1402";"3841";"1";"0"
"1403";"3841";"3";"0"
"1404";"3842";"6";"0"
"1405";"3842";"1";"0"
"1406";"3843";"6";"0"
"1407";"3843";"1";"0"
"1408";"3844";"9";"0"
"1409";"3844";"12";"0"
"1410";"3853";"12";"0"
"1411";"3855";"12";"0"
"1412";"3856";"8";"0"
"1413";"3857";"6";"0"
"1414";"3857";"13";"0"
"1415";"3858";"5";"0"
"1416";"3859";"14";"0"
"1417";"3864";"8";"0"
"1418";"3867";"8";"0"
"1419";"3872";"5";"0"
"1420";"3872";"2";"1"
"1421";"3873";"8";"0"
"1422";"3873";"11";"0"
"1423";"3874";"8";"0"
"1424";"3874";"11";"0"
"1425";"3875";"8";"0"
"1426";"3876";"11";"0"
"1427";"3879";"0";"1"
"1428";"3884";"11";"0"
"1429";"3884";"8";"0"
"1430";"3885";"11";"0"
"1431";"3885";"8";"0"
"1432";"3890";"14";"0"
"1433";"3891";"14";"0"
"1434";"3892";"2";"1"
"1435";"3895";"10";"0"
"1436";"3895";"3";"0"
"1437";"3903";"8";"0"
"1438";"3905";"12";"0"
"1439";"3906";"12";"0"
"1440";"3907";"12";"0"
"1441";"3908";"0";"0"
"1442";"3908";"6";"0"
"1443";"3908";"10";"0"
"1444";"3912";"5";"0"
"1445";"3912";"0";"1"
"1446";"3917";"8";"0"
"1447";"3917";"8";"0"
"1448";"3917";"5";"0"
"1449";"3921";"11";"0"
"1450";"3923";"10";"0"
"1451";"3923";"13";"0"
"1452";"3926";"3";"0"
"1453";"3926";"8";"0"
"1454";"3927";"3";"0"
"1455";"3927";"8";"0"
"1456";"3928";"3";"0"
"1457";"3928";"8";"0"
"1458";"3933";"10";"0"
"1459";"3934";"11";"0"
"1460";"3934";"6";"0"
"1461";"3935";"10";"0"
"1462";"3938";"8";"0"
"1463";"3938";"8";"0"
"1464";"3943";"0";"1"
"1465";"3943";"3";"0"
"1466";"3943";"4";"0"
"1467";"3943";"6";"0"
"1468";"3954";"11";"0"
"1469";"3954";"13";"0"
"1470";"3962";"3";"0"
"1471";"3962";"7";"0"
"1472";"3966";"3";"0"
"1473";"3966";"5";"0"
"1474";"3968";"7";"0"
"1475";"3968";"11";"0"
"1476";"3970";"2";"0"
"1477";"3970";"8";"0"
"1478";"3972";"2";"0"
"1479";"3972";"8";"0"
"1480";"3987";"4";"0"
"1481";"3987";"7";"0"
"1482";"3987";"9";"0"
"1483";"3992";"0";"0"
"1484";"4012";"10";"0"
"1485";"4012";"13";"0"
"1486";"4013";"10";"0"
"1487";"4014";"10";"0"
"1488";"4014";"7";"0"
"1489";"4015";"0";"1"
"1490";"4016";"0";"1"
"1491";"4017";"7";"0"
"1492";"4021";"13";"0"
"1493";"4021";"15";"0"
"1494";"4022";"14";"0"
"1495";"4022";"15";"0"
"1496";"4023";"12";"0"
"1497";"4023";"15";"0"
"1498";"4024";"13";"0"
"1499";"4024";"15";"0"
"1500";"4025";"14";"0"
"1501";"4025";"15";"0"
"1502";"4026";"12";"0"
"1503";"4026";"15";"0"
"1504";"4027";"13";"0"
"1505";"4027";"15";"0"
"1506";"4028";"14";"0"
"1507";"4028";"15";"0"
"1508";"4029";"12";"0"
"1509";"4029";"15";"0"
"1510";"4030";"6";"0"
"1511";"4030";"6";"0"
"1512";"4030";"10";"0"
"1513";"4031";"6";"0"
"1514";"4031";"6";"0"
"1515";"4031";"10";"0"
"1516";"4032";"6";"0"
"1517";"4032";"6";"0"
"1518";"4033";"10";"0"
"1519";"4034";"4";"0"
"1520";"4034";"7";"0"
"1521";"4034";"9";"0"
"1522";"4035";"4";"0"
"1523";"4035";"7";"0"
"1524";"4035";"9";"0"
"1525";"4036";"4";"0"
"1526";"4036";"7";"0"
"1527";"4036";"9";"0"
"1528";"4041";"11";"0"
"1529";"4041";"17";"0"
"1530";"4042";"10";"0"
"1531";"4043";"11";"0"
"1532";"4044";"17";"0"
"1533";"4045";"10";"0"
"1534";"4047";"7";"0"
"1535";"4050";"17";"0"
"1536";"4050";"13";"0"
"1540";"4060";"0";"0"
"1541";"4062";"0";"0"
"1542";"4063";"12";"0"
"1543";"4063";"9";"0"
"1544";"4064";"0";"0"
"1545";"4065";"12";"0"
"1546";"4065";"9";"0"
"1547";"4066";"12";"0"
"1548";"4066";"9";"0"
"1549";"4067";"12";"0"
"1550";"4067";"9";"0"
"1551";"4068";"12";"0"
"1552";"4068";"9";"0"
"1553";"4069";"12";"0"
"1554";"4069";"9";"0"
"1555";"4072";"13";"0"
"1556";"4072";"14";"0"
"1557";"4073";"13";"0"
"1558";"4074";"14";"0"
"1559";"4077";"14";"0"
"1560";"4077";"12";"0"
"1561";"4077";"7";"0"
"1562";"4078";"1";"1"
"1563";"4080";"6";"0"
"1564";"4085";"5";"0"
"1565";"4085";"9";"0"
"1566";"4086";"4";"0"
"1567";"4087";"15";"0"
"1568";"4087";"13";"0"
"1569";"4088";"5";"0"
"1570";"4088";"9";"0"
"1571";"4100";"4";"0"
"1572";"4100";"0";"0"
"1573";"4101";"4";"0"
"1574";"4101";"0";"0"
"1575";"4102";"4";"0"
"1576";"4102";"0";"0"
"1577";"4103";"2";"0"
"1578";"4105";"4";"0"
"1579";"4106";"0";"0"
"1580";"4107";"4";"0"
"1581";"4109";"4";"0"
"1582";"4110";"5";"0"
"1583";"4110";"2";"0"
"1584";"4113";"9";"0"
"1585";"4114";"16";"0"
"1586";"4114";"7";"0"
"1587";"4115";"16";"0"
"1588";"4115";"7";"0"
"1589";"4117";"16";"0"
"1590";"4117";"7";"0"
"1591";"4118";"9";"0"
"1592";"4119";"1";"1"
"1593";"4120";"13";"0"
"1594";"4126";"16";"0"
"1595";"4132";"7";"0"
"1596";"4132";"4";"0"
"1597";"4132";"4";"0"
"1602";"4139";"8";"0"
"1603";"4142";"4";"0"
"1604";"4142";"7";"0"
"1605";"4142";"9";"0"
"1606";"4143";"4";"0"
"1607";"4143";"7";"0"
"1608";"4143";"9";"0"
"1609";"4144";"4";"0"
"1610";"4144";"7";"0"
"1611";"4144";"9";"0"
"1612";"4145";"4";"0"
"1613";"4145";"7";"0"
"1614";"4145";"9";"0"
"1615";"4146";"4";"0"
"1616";"4146";"7";"0"
"1617";"4146";"9";"0"
"1618";"4147";"4";"0"
"1619";"4147";"7";"0"
"1620";"4147";"9";"0"
"1621";"4148";"4";"0"
"1622";"4148";"7";"0"
"1623";"4148";"9";"0"
"1624";"4153";"4";"0"
"1625";"4153";"7";"0"
"1626";"4153";"9";"0"
"1627";"4154";"4";"0"
"1628";"4154";"7";"0"
"1629";"4154";"9";"0"
"1630";"4157";"4";"0"
"1631";"4157";"7";"0"
"1632";"4157";"9";"0"
"1633";"4158";"4";"0"
"1634";"4158";"7";"0"
"1635";"4158";"9";"0"
"1636";"4160";"4";"0"
"1637";"4160";"7";"0"
"1638";"4160";"9";"0"
"1639";"4161";"4";"0"
"1640";"4161";"7";"0"
"1641";"4161";"9";"0"
"1642";"4167";"4";"0"
"1643";"4167";"7";"0"
"1644";"4167";"9";"0"
"1645";"4174";"4";"0"
"1646";"4175";"7";"0"
"1647";"4175";"9";"0"
"1648";"4194";"5";"0"
"1649";"4194";"2";"0"
"1650";"4196";"2";"1"
"1651";"4200";"17";"0"
"1652";"4204";"0";"1"
"1653";"4204";"0";"0"
"1654";"4205";"3";"0"
"1655";"4205";"5";"0"
"1656";"4206";"7";"0"
"1657";"4209";"4";"0"
"1658";"4209";"14";"0"
"1659";"4209";"14";"0"
"1660";"4209";"17";"0"
"1661";"4210";"4";"0"
"1662";"4210";"14";"0"
"1663";"4210";"14";"0"
"1664";"4220";"5";"0"
"1665";"4220";"9";"0"
"1666";"4221";"5";"0"
"1667";"4221";"9";"0"
"1668";"4224";"0";"0"
"1669";"4228";"0";"1"
"1670";"4238";"8";"0"
"1671";"4238";"8";"0"
"1672";"4239";"8";"0"
"1673";"4240";"8";"0"
"1674";"4241";"8";"0"
"1675";"4242";"8";"0"
"1676";"4243";"8";"0"
"1677";"4244";"8";"0"
"1678";"4245";"8";"0"
"1679";"4246";"8";"0"
"1680";"4254";"10";"0"
"1681";"4257";"10";"0"
"1682";"4260";"2";"0"
"1683";"4267";"6";"0"
"1684";"4275";"7";"0"
"1685";"4275";"16";"0"
"1686";"4276";"7";"0"
"1687";"4276";"16";"0"
"1688";"4277";"7";"0"
"1689";"4277";"16";"0"
"1690";"4279";"7";"0"
"1691";"4279";"16";"0"
"1692";"4280";"7";"0"
"1693";"4280";"16";"0"
"1694";"4284";"7";"0"
"1695";"4284";"7";"0"
"1696";"4287";"8";"0"
"1697";"4287";"8";"0"
"1698";"4289";"14";"0"
"1699";"4289";"7";"0"
"1700";"4291";"7";"0"
"1701";"4291";"5";"0"
"1702";"4292";"10";"0"
"1703";"4292";"7";"0"
"1704";"4293";"9";"0"
"1705";"4293";"6";"0"
"1706";"4293";"3";"0"
"1707";"4294";"8";"0"
"1708";"4295";"0";"0"
"1709";"4296";"8";"0"
"1710";"4297";"8";"0"
"1711";"4299";"2";"0"
"1712";"4300";"7";"0"
"1713";"4300";"16";"0"
"1714";"4301";"7";"0"
"1715";"4301";"16";"0"
"1716";"4313";"8";"0"
"1717";"4313";"15";"0"
"1718";"4314";"8";"0"
"1719";"4314";"15";"0"
"1720";"4316";"8";"0"
"1721";"4316";"10";"0"
"1722";"4318";"5";"0"
"1723";"4320";"7";"0"
"1724";"4320";"9";"0"
"1725";"4322";"8";"0"
"1726";"4322";"10";"0"
"1727";"4325";"7";"0"
"1728";"4325";"9";"0"
"1729";"4326";"5";"0"
"1730";"4337";"9";"0"
"1731";"4338";"9";"0"
"1732";"4341";"14";"0"
"1733";"4341";"7";"0"
"1734";"4343";"7";"0"
