"id";"search_log_id";"search_log_room_id";"room_code";"room_price_min";"room_price_max"
"9217";"76486";"3782";"ROOMCC";"337680.00";"337680.00"
"9218";"76486";"3782";"ROOMBB";"395280.00";"395280.00"
"9219";"76486";"3782";"ROOMFF";"424080.00";"424080.00"
"9338";"76528";"3824";"ROOMDD";"107712.00";"107712.00"
"9339";"76528";"3824";"ROOMAA";"113832.00";"113832.00"
"9340";"76528";"3824";"ROOMGG";"119952.00";"119952.00"
"9392";"76541";"3837";"ROOMBB";"328032.00";"352520.00"
"9393";"76542";"3838";"ROOMBB";"476.00";"543.73"
"9394";"76542";"3838";"ROOMFF";"510.00";"578.13"
"9395";"76543";"3839";"ROOMEE";"409390.80";"522113.80"
"9396";"76543";"3839";"ROOMHH";"464470.80";"584708.80"
"9397";"76544";"3840";"ROOMBB";"476.00";"543.73"
"9398";"76544";"3840";"ROOMFF";"510.00";"578.13"
"9399";"76545";"3841";"ROOMEE";"135966.00";"168366.00"
"9400";"76545";"3841";"ROOMHH";"156831.00";"189231.00"
"9401";"76548";"3844";"ROOMHH";"249574.00";"294223.32"
"9402";"76549";"3845";"ROOMDD";"172800.00";"220320.00"
"9403";"76549";"3845";"ROOMAA";"183600.00";"232560.00"
"9404";"76549";"3845";"ROOMGG";"194400.00";"244800.00"
"9405";"76549";"3845";"ROOMCC";"194400.00";"244800.00"
"9406";"76549";"3845";"ROOMBB";"237600.00";"293760.00"
"9407";"76549";"3845";"ROOMFF";"259200.00";"318240.00"
"9408";"76550";"3846";"ROOMDD";"309.40";"419.90"
"9409";"76550";"3846";"ROOMAA";"326.40";"438.60"
"9410";"76550";"3846";"ROOMGG";"343.40";"459.00"
"9411";"76550";"3846";"ROOMCC";"343.40";"459.00"
"9412";"76550";"3846";"ROOMBB";"411.40";"535.50"
"9413";"76551";"3847";"ROOMDD";"98544.00";"139928.00"
"9414";"76551";"3847";"ROOMAA";"104480.00";"146884.00"
"9415";"76551";"3847";"ROOMGG";"110418.00";"153838.00"
"9416";"76551";"3847";"ROOMCC";"110418.00";"153838.00"
"9417";"76551";"3847";"ROOMBB";"134162.00";"181658.00"
"9418";"76551";"3847";"ROOMFF";"146036.00";"195568.00"
"9419";"76552";"3848";"ROOMAA";"224884.00";"256327.00"
"9420";"76552";"3848";"ROOMGG";"235360.00";"267127.00"
"9421";"76552";"3848";"ROOMCC";"235360.00";"267127.00"
"9422";"76552";"3848";"ROOMBB";"277264.00";"310329.00"
"9423";"76552";"3848";"ROOMFF";"298216.00";"331929.00"
"9424";"76553";"3849";"ROOMDD";"275.00";"343.00"
"9425";"76553";"3849";"ROOMAA";"286.00";"354.00"
"9426";"76553";"3849";"ROOMCC";"298.00";"366.00"
"9427";"76553";"3849";"ROOMBB";"343.00";"411.00"
"9428";"76553";"3849";"ROOMFF";"366.00";"434.00"
"9429";"76554";"3850";"ROOMDD";"275.00";"343.00"
"9430";"76554";"3850";"ROOMBB";"343.00";"411.00"
"9431";"76555";"3851";"ROOMDD";"484.00";"552.00"
"9432";"76555";"3851";"ROOMBB";"604.00";"671.68"
"9433";"76557";"3854";"ROOMDD";"107712.00";"146884.00"
"9434";"76557";"3854";"ROOMAA";"113832.00";"153838.00"
"9435";"76557";"3854";"ROOMGG";"119952.00";"160792.00"
"9436";"76557";"3854";"ROOMCC";"119952.00";"160792.00"
"9437";"76557";"3854";"ROOMBB";"144432.00";"188614.00"
"9438";"76557";"3854";"ROOMFF";"156672.00";"202522.00"
"9439";"76558";"3855";"ROOMCC";"230724.00";"230724.00"
"9440";"76558";"3855";"ROOMEE";"245351.00";"245351.00"
"9441";"76558";"3855";"ROOMHH";"282071.00";"282071.00"
"9442";"76559";"3856";"ROOMCC";"256275.00";"288684.75"
"9443";"76561";"3858";"ROOMCC";"258876.00";"291284.00"
"9444";"76561";"3858";"ROOMEE";"356796.00";"389208.00"
"9445";"76561";"3858";"ROOMHH";"430236.00";"462651.00"
"9446";"76562";"3859";"ROOMCC";"213588.00";"213588.00"
"9447";"76562";"3859";"ROOMEE";"230908.00";"230908.00"
"9448";"76562";"3859";"ROOMHH";"267628.00";"267628.00"
"9449";"76563";"3860";"ROOMDD";"695.30";"695.30"
"9450";"76563";"3860";"ROOMAA";"720.80";"720.80"
"9451";"76563";"3860";"ROOMGG";"746.30";"746.30"
"9452";"76563";"3860";"ROOMCC";"746.30";"746.30"
"9453";"76563";"3860";"ROOMBB";"848.30";"848.30"
"9454";"76563";"3860";"ROOMFF";"899.30";"899.30"
"9455";"76564";"3861";"ROOMDD";"312.80";"312.80"
"9456";"76564";"3861";"ROOMAA";"329.80";"329.80"
"9457";"76564";"3861";"ROOMGG";"346.80";"346.80"
"9458";"76564";"3861";"ROOMCC";"346.80";"346.80"
"9459";"76564";"3861";"ROOMBB";"414.80";"414.80"
"9460";"76564";"3861";"ROOMFF";"448.80";"448.80"
"9461";"76565";"3862";"ROOMDD";"293760.00";"293760.00"
"9462";"76565";"3862";"ROOMAA";"302940.00";"302940.00"
"9463";"76565";"3862";"ROOMGG";"312120.00";"312120.00"
"9464";"76565";"3862";"ROOMCC";"312120.00";"312120.00"
"9465";"76565";"3862";"ROOMBB";"348840.00";"348840.00"
"9466";"76565";"3862";"ROOMFF";"367200.00";"367200.00"
"9467";"76566";"3863";"ROOMDD";"164016.00";"210868.00"
"9468";"76566";"3863";"ROOMAA";"173196.00";"221302.00"
"9469";"76566";"3863";"ROOMGG";"182376.00";"231733.00"
"9470";"76566";"3863";"ROOMCC";"182376.00";"231733.00"
"9471";"76566";"3863";"ROOMBB";"219096.00";"273461.00"
"9472";"76566";"3863";"ROOMFF";"237456.00";"294325.00"
"9473";"76567";"3864";"ROOMCC";"166005.00";"198411.00"
"9474";"76567";"3864";"ROOMEE";"184212.00";"216618.00"
"9475";"76568";"3865";"ROOMAA";"331.45";"409.84"
"9476";"76568";"3865";"ROOMGG";"347.94";"426.29"
"9477";"76568";"3865";"ROOMCC";"347.94";"426.29"
"9478";"76568";"3865";"ROOMBB";"413.90";"495.11"
"9479";"76569";"3866";"ROOMAA";"331.45";"409.84"
"9480";"76569";"3866";"ROOMGG";"347.94";"426.29"
"9481";"76569";"3866";"ROOMCC";"347.94";"426.29"
"9482";"76569";"3866";"ROOMBB";"413.90";"495.11"
"9483";"76570";"3867";"ROOMCC";"166005.00";"198411.00"
"9484";"76570";"3867";"ROOMEE";"184212.00";"216618.00"
"9485";"76571";"3868";"ROOMAA";"331.45";"409.84"
"9486";"76571";"3868";"ROOMGG";"347.94";"426.29"
"9487";"76571";"3868";"ROOMCC";"347.94";"426.29"
"9488";"76571";"3868";"ROOMBB";"413.90";"495.11"
"9489";"76572";"3869";"ROOMAA";"152280.00";"208364.00"
"9490";"76572";"3869";"ROOMGG";"163080.00";"222274.00"
"9491";"76572";"3869";"ROOMBB";"206280.00";"277912.00"
"9492";"76572";"3869";"ROOMFF";"227880.00";"305731.00"
"9493";"76573";"3870";"ROOMAA";"193392.00";"217878.00"
"9494";"76573";"3870";"ROOMGG";"202572.00";"227058.00"
"9495";"76573";"3870";"ROOMCC";"202572.00";"227058.00"
"9496";"76573";"3870";"ROOMBB";"239292.00";"263779.00"
"9497";"76574";"3871";"ROOMAA";"261936.00";"286424.00"
"9498";"76574";"3871";"ROOMGG";"274176.00";"298664.00"
"9499";"76574";"3871";"ROOMCC";"274176.00";"298664.00"
"9500";"76574";"3871";"ROOMBB";"323136.00";"347625.00"
"9501";"76575";"3872";"ROOMEE";"163641.50";"196041.50"
"9502";"76575";"3872";"ROOMHH";"188187.50";"220587.50"
"9503";"76576";"3873";"ROOMEE";"122731.00";"163051.00"
"9504";"76576";"3873";"ROOMHH";"147277.00";"187597.00"
"9505";"76578";"3875";"ROOMCC";"271575.00";"303983.75"
"9506";"76578";"3876";"ROOMGG";"170748.00";"190914.00"
"9507";"76578";"3876";"ROOMCC";"170748.00";"190914.00"
"9508";"76578";"3876";"ROOMBB";"207468.00";"227635.00"
"9509";"76578";"3876";"ROOMFF";"225828.00";"245994.00"
"9510";"76579";"3877";"ROOMBB";"329868.00";"354357.00"
"9511";"76581";"3879";"ROOMDD";"600.24";"687.35"
"9512";"76581";"3879";"ROOMAA";"633.21";"720.25"
"9513";"76581";"3879";"ROOMGG";"666.20";"755.41"
"9514";"76581";"3879";"ROOMCC";"666.20";"755.41"
"9515";"76581";"3879";"ROOMEE";"1230.16";"1335.85"
"9516";"76581";"3879";"ROOMHH";"1428.04";"1540.80"
"9517";"76581";"3879";"ROOMBB";"798.12";"890.80"
"9518";"76581";"3879";"ROOMFF";"864.08";"959.61"
"9519";"76582";"3880";"ROOMDD";"61366.00";"73606.00"
"9520";"76582";"3880";"ROOMAA";"65457.00";"77697.00"
"9521";"76582";"3880";"ROOMGG";"69548.00";"81788.00"
"9522";"76582";"3880";"ROOMCC";"69548.00";"81788.00"
"9523";"76582";"3880";"ROOMBB";"85912.00";"98152.00"
"9524";"76582";"3880";"ROOMFF";"94094.00";"106334.00"
"9525";"76583";"3881";"ROOMAA";"78589.00";"103069.00"
"9526";"76583";"3881";"ROOMGG";"82067.00";"106547.00"
"9527";"76583";"3881";"ROOMCC";"82067.00";"106547.00"
"9528";"76583";"3881";"ROOMBB";"95976.00";"120456.00"
"9529";"76583";"3881";"ROOMFF";"102931.00";"127411.00"
"9530";"76584";"3882";"ROOMAA";"138312.00";"162796.00"
"9531";"76584";"3882";"ROOMGG";"144432.00";"168918.00"
"9532";"76584";"3882";"ROOMCC";"144432.00";"168918.00"
"9533";"76584";"3882";"ROOMBB";"168912.00";"193398.00"
"9534";"76584";"3882";"ROOMFF";"181152.00";"205638.00"
"9535";"76585";"3883";"ROOMGG";"307296.00";"341291.00"
"9536";"76585";"3883";"ROOMCC";"307296.00";"341291.00"
"9537";"76585";"3883";"ROOMBB";"363168.00";"398891.00"
"9538";"76585";"3883";"ROOMFF";"391104.00";"427693.00"
"9539";"76586";"3884";"ROOMEE";"984.30";"1095.63"
"9540";"76586";"3884";"ROOMHH";"1188.30";"1299.82"
"9541";"76587";"3885";"ROOMEE";"984.30";"1095.63"
"9542";"76587";"3885";"ROOMHH";"1188.30";"1299.82"
"9543";"76588";"3886";"ROOMAA";"179872.00";"209921.00"
"9544";"76588";"3886";"ROOMGG";"188777.00";"219102.00"
"9545";"76588";"3886";"ROOMCC";"188777.00";"219102.00"
"9546";"76588";"3886";"ROOMBB";"224395.00";"255822.00"
"9547";"76589";"3887";"ROOMDD";"156960.00";"181445.00"
"9548";"76589";"3887";"ROOMBB";"200160.00";"224646.00"
"9549";"76590";"3888";"ROOMGG";"288864.00";"313353.00"
"9550";"76590";"3888";"ROOMCC";"288864.00";"313353.00"
"9551";"76590";"3888";"ROOMBB";"337824.00";"362313.00"
"9552";"76590";"3888";"ROOMFF";"362304.00";"386795.00"
"9553";"76591";"3889";"ROOMDD";"244080.00";"268568.00"
"9554";"76591";"3889";"ROOMBB";"308880.00";"333369.00"
"9555";"76592";"3890";"ROOMCC";"214445.00";"251171.80"
"9556";"76593";"3891";"ROOMCC";"155646.60";"155646.60"
"9557";"76593";"3891";"ROOMHH";"186733.92";"186733.92"
"9558";"76594";"3892";"ROOMDD";"236232.00";"260719.00"
"9559";"76594";"3892";"ROOMAA";"248472.00";"272958.00"
"9560";"76594";"3892";"ROOMGG";"260712.00";"285200.00"
"9561";"76594";"3892";"ROOMCC";"260712.00";"285200.00"
"9562";"76594";"3892";"ROOMEE";"476748.00";"501244.00"
"9563";"76594";"3892";"ROOMHH";"550188.00";"574688.00"
"9564";"76594";"3892";"ROOMBB";"309672.00";"334161.00"
"9565";"76594";"3892";"ROOMFF";"334152.00";"358641.00"
"9566";"76595";"3893";"ROOMAA";"238642.00";"270512.00"
"9567";"76595";"3893";"ROOMGG";"250516.00";"282752.00"
"9568";"76595";"3893";"ROOMCC";"250516.00";"282752.00"
"9569";"76595";"3893";"ROOMBB";"298006.00";"331712.00"
"9570";"76596";"3894";"ROOMCC";"211140.00";"247867.00"
"9571";"76598";"3896";"ROOMDD";"450.18";"532.51"
"9572";"76598";"3896";"ROOMAA";"474.91";"557.19"
"9573";"76598";"3896";"ROOMGG";"499.65";"583.37"
"9574";"76598";"3896";"ROOMCC";"499.65";"583.37"
"9575";"76598";"3896";"ROOMBB";"598.59";"685.10"
"9576";"76598";"3896";"ROOMFF";"648.06";"736.71"
"9577";"76599";"3897";"ROOMDD";"694.00";"762.32"
"9578";"76599";"3897";"ROOMBB";"874.00";"941.84"
"9579";"76600";"3898";"ROOMDD";"293760.00";"293760.00"
"9580";"76600";"3898";"ROOMAA";"302940.00";"302940.00"
"9581";"76600";"3898";"ROOMGG";"312120.00";"312120.00"
"9582";"76600";"3898";"ROOMCC";"312120.00";"312120.00"
"9583";"76600";"3898";"ROOMBB";"348840.00";"348840.00"
"9584";"76600";"3898";"ROOMFF";"367200.00";"367200.00"
"9585";"76601";"3899";"ROOMAA";"305280.00";"348849.00"
"9586";"76601";"3899";"ROOMGG";"319680.00";"364150.00"
"9587";"76601";"3899";"ROOMCC";"319680.00";"364150.00"
"9588";"76601";"3899";"ROOMBB";"377280.00";"425351.00"
"9589";"76602";"3900";"ROOMAA";"305280.00";"348849.00"
"9590";"76602";"3900";"ROOMGG";"319680.00";"364150.00"
"9591";"76602";"3900";"ROOMCC";"319680.00";"364150.00"
"9592";"76602";"3900";"ROOMBB";"377280.00";"425351.00"
"9593";"76603";"3901";"ROOMDD";"142473.00";"171360.00"
"9594";"76603";"3901";"ROOMAA";"151377.00";"180540.00"
"9595";"76603";"3901";"ROOMGG";"160284.00";"189720.00"
"9596";"76603";"3901";"ROOMCC";"160284.00";"189720.00"
"9597";"76603";"3901";"ROOMBB";"195900.00";"226440.00"
"9598";"76603";"3901";"ROOMFF";"213711.00";"244800.00"
"9599";"76604";"3902";"ROOMDD";"156672.00";"202522.00"
"9600";"76604";"3902";"ROOMAA";"165852.00";"212954.00"
"9601";"76604";"3902";"ROOMGG";"175032.00";"223385.00"
"9602";"76604";"3902";"ROOMCC";"175032.00";"223385.00"
"9603";"76604";"3902";"ROOMBB";"211752.00";"265117.00"
"9604";"76604";"3902";"ROOMFF";"230112.00";"285979.00"
"9605";"76605";"3903";"ROOMCC";"185130.00";"217537.00"
