"date";"utm_source_and_medium";"utm_campaign";"user_count";"session_count"
"2024-09-18";"(not set)";"(not set)";"425";"551"
"2024-09-18";"google / cpc";"(organic)";"292";"342"
"2024-09-18";"google / cpc";"(not set)";"206";"232"
"2024-09-18";"(direct) / (none)";"(direct)";"175";"220"
"2024-09-18";"google / organic";"(organic)";"145";"170"
"2024-09-18";"google / cpc";"HU | pMAX | PERF I Brand";"103";"109"
"2024-09-18";"google / cpc";"HU | GSN | PERF I Brand";"62";"78"
"2024-09-18";"google / cpc";"AT | pMAX Hotel | PERF I Brand";"55";"59"
"2024-09-18";"facebook / cpc";"campaign_17";"53";"54"
"2024-09-18";"google / cpc";"HU | GSN | PERF I Lokáció";"45";"48"
"2024-09-18";"google / cpc";"HU | GSN | PERF I Brand 2";"27";"31"
"2024-09-18";"facebook / cpc";"campaign_18";"27";"30"
"2024-09-18";"google / cpc";"DE | pMAX Hotel | PERF I Brand";"19";"25"
"2024-09-18";"bing / cpc";"campaign_33";"11";"23"
"2024-09-18";"google / cpc";"AT | GSN | PERF I Brand";"18";"21"
"2024-09-18";"l.facebook.com / referral";"(referral)";"11";"16"
"2024-09-18";"hirlevel / ct";"campaign_3";"9";"15"
"2024-09-18";"facebook / cpc";"campaign_19";"15";"15"
"2024-09-18";"m.facebook.com / referral";"(referral)";"6";"12"
"2024-09-18";"google / cpc";"campaign_27";"10";"12"
"2024-09-18";"google / cpc";"CZ | pMAX | PERF I Brand";"7";"10"
"2024-09-18";"ajanlat / offline";"campaign_2";"5";"10"
"2024-09-18";"redir.d-edgeconnect.media / referral";"(referral)";"8";"9"
"2024-09-18";"bing / cpc";"HU | GSN | Brand 2024";"7";"9"
"2024-09-18";"google / cpc";"HU | GDN | ENGM I Programok '24";"7";"8"
"2024-09-18";"phone / offline";"proposal-by-phone";"2";"7"
"2024-09-18";"bing / organic";"(organic)";"6";"6"
"2024-09-18";"google / cpc";"(referral)";"2";"5"
"2024-09-18";"google / cpc";"AT | GSN | PERF | Lokáció";"5";"5"
"2024-09-18";"duckduckgo / organic";"(organic)";"3";"4"
"2024-09-18";"facebook / cpc";"campaign_20";"3";"4"
"2024-09-18";"ajanlat / email";"campaign_7";"3";"4"
"2024-09-18";"bing / cpc";"DE | GSN | Brand 2024";"1";"3"
"2024-09-18";"google / cpc";"campaign_21";"3";"3"
"2024-09-18";"source_4";"(organic)";"1";"2"
"2024-09-18";"instagram.com / referral";"(referral)";"0";"2"
"2024-09-18";"lm.facebook.com / referral";"(referral)";"2";"2"
"2024-09-18";"zadir.hu / referral";"(referral)";"0";"2"
"2024-09-18";"bing / cpc";"AT | GSN | Brand";"0";"2"
"2024-09-18";"bing / cpc";"AT | GSN | Brand 2024";"2";"2"
"2024-09-18";"email / offline";"proposal-by-phone";"0";"2"
"2024-09-18";"(direct) / (none)";"(not set)";"1";"1"
"2024-09-18";"app.zoomsphere.com / referral";"(referral)";"1";"1"
"2024-09-18";"familypark.at / referral";"(referral)";"1";"1"
"2024-09-18";"romaniatv.net / referral";"(referral)";"1";"1"
"2024-09-18";"fb / paid";"campaign_9";"1";"1"
"2024-09-18";"google / cpc";"CZ | GSN | PERF I Brand";"1";"1"
"2024-09-18";"google / cpc";"campaign_22";"1";"1"
"2024-09-18";"google / cpc";"HU | pMAX | Csomag";"1";"1"
"2024-09-18";"google / cpc";"campaign_23";"1";"1"
"2024-09-18";"hirlevel_s1";"hirlevel_c1";"1";"1"
"2024-09-19";"familypark.at / referral";"(referral)";"1";"3"
