"search_log_id";"total_price_final";"rooms_total_price";"upsell_total_price";"vouchers_total_price";"loyalty_discount_total";"redeemed_loyalty_points_total"
"129649";"82653.2";"112607.2";"0.00";"0";"11260.00";"18694.00"
"129640";"161892";"185435.56";"0.00";"0";"18543.56";"5000.00"
"129730";"85117";"122352.22";"0.00";"0";"12235.22";"25000.00"
"129772";"1700";"141700";"0.00";"140000";"0.00";"0.00"
"129888";"177358";"197064.44";"0.00";"0";"19706.44";"0.00"
"129892";"73045";"117231.56";"0.00";"0";"12882.56";"31304.00"
"129894";"520.42";"444.82";"75.60";"0";"0.00";"0.00"
"129955";"200228";"230564.89";"0.00";"0";"25336.89";"5000.00"
"129966";"207.9";"231";"0.00";"0";"23.10";"0.00"
"129998";"316080";"316080";"0.00";"0";"0.00";"0.00"
"130000";"163545";"187272.22";"0.00";"0";"18727.22";"5000.00"
"130065";"142657";"158507.78";"0.00";"0";"15850.78";"0.00"
"130102";"140344";"155937.78";"0.00";"0";"15593.78";"0.00"
"130568";"173459";"200491";"0.00";"0";"22032.00";"5000.00"
"130563";"169053";"193392.22";"0.00";"0";"19339.22";"5000.00"
"130581";"203796";"226440";"0.00";"0";"22644.00";"0.00"
"130620";"99896";"143820";"0.00";"0";"14382.00";"29542.00"
"130637";"122176";"170640";"13600.00";"0";"17064.00";"45000.00"
"130722";"98094";"114548.89";"0.00";"0";"11454.89";"5000.00"
"130761";"129946";"149940";"0.00";"0";"14994.00";"5000.00"
"130944";"70593";"91334.78";"0.00";"0";"10036.78";"10705.00"
"130950";"136808";"159120";"0.00";"0";"15912.00";"6400.00"
"130959";"118930";"137700";"0.00";"0";"13770.00";"5000.00"
"130985";"180000";"180000";"0.00";"0";"0.00";"0.00"
"131052";"92048";"102275.56";"0.00";"0";"10227.56";"0.00"
"131060";"92204";"103587.22";"0.00";"0";"11383.22";"0.00"
"131077";"143787";"157679.44";"0.00";"0";"13892.44";"0.00"
"131095";"153355";"175950";"0.00";"0";"17595.00";"5000.00"
"131129";"78281";"93562.56";"0.00";"0";"10281.56";"5000.00"
"131130";"83281";"93562.56";"0.00";"0";"10281.56";"0.00"
"131131";"78281";"93562.6";"0.00";"0";"10281.60";"0.00"
"131600";"372901";"443307.11";"0.00";"0";"48715.11";"21691.00"
"131665";"553.1";"614.5600000000001";"0.00";"0";"61.46";"0.00"
"131670";"212382";"235980";"0.00";"0";"23598.00";"0.00"
"131672";"86751";"139230";"0.00";"0";"15300.00";"37179.00"
"131676";"124424";"143804.44";"0.00";"0";"14380.44";"5000.00"
"131662";"169218";"169218";"0.00";"0";"0.00";"0.00"
"131687";"174172";"199080";"0.00";"0";"19908.00";"5000.00"
"131729";"309060";"309060";"0.00";"0";"0.00";"0.00"
"131873";"63844";"70937.8";"0.00";"0";"7093.80";"0.00"
"131915";"251164";"279071.11";"0.00";"0";"27907.11";"0.00"
"131930";"126684";"140760";"0.00";"0";"14076.00";"0.00"
"132401";"142229";"165405.44";"0.00";"0";"18176.44";"5000.00"
"132526";"110458";"110458";"0.00";"0";"0.00";"0.00"
"132539";"83912";"110457.8";"0.00";"0";"11045.80";"15500.00"
"132560";"358.06";"336.4";"55.30";"0";"33.64";"0.00"
"132570";"201593";"201593";"0.00";"0";"0.00";"0.00"
"132592";"286318";"323686.67";"0.00";"0";"32368.67";"5000.00"
"132598";"275.4";"275.4";"0.00";"0";"0.00";"0.00"
"132601";"97738";"115421.67";"0.00";"0";"12683.67";"5000.00"
"132617";"1120";"1120";"0.00";"0";"0.00";"0.00"
"132720";"76936";"86434.22";"0.00";"0";"9498.22";"0.00"
