,daily_google_spend,daily_microsoft_spend,daily_meta_spend
2024.09.18.,103187,13076,28788
2024.09.19.,105303,19576,64102
2024.09.20.,104991,20604,73873
2024.09.21.,98337,12220,27476
2024.09.22.,113580,13024,36343
2024.09.23.,121915,14752,80416
2024.09.24.,155007,15168,78181
2024.09.25.,166705,13216,80310
2024.09.26.,150061,11448,114300
2024.09.27.,148829,13908,99764
2024.09.28.,140184,25356,74514
2024.09.29.,144863,15276,83084
2024.09.30.,144053,20912,46620
2024.10.01.,118987,14104,7349
2024.10.02.,121842,29448,13972
2024.10.03.,135303,25508,13826
2024.10.04.,111664,20812,13717
2024.10.05.,118083,19428,14055
2024.10.06.,144490,21664,14779
2024.10.07.,124001,28120,14403
2024.10.08.,145607,16488,16790
2024.10.09.,134531,17976,19811
2024.10.10.,182586,18580,21891
2024.10.11.,164288,13776,30599
2024.10.12.,151136,6528,34108
2024.10.13.,194372,9556,40191
2024.10.14.,126691,10516,39681
2024.10.15.,118527,11636,49422
2024.10.16.,107786,7332,54621
2024.10.17.,108032,9220,61796
2024.10.18.,110435,10912,63345
