,hotel_id,date,utm_source,utm_medium,utm_campaign,index,user_count_website,session_count_website,utm_source_cpc,user_count_datepicker,session_count_datepicker
0,hotel_1,2024-09-18,direct,(not set),(direct),1.0,253.0,304.0,no_cpc,104.0,124.0
1,hotel_1,2024-09-18,direct,(not set),(not set),90.0,3.0,4.0,no_cpc,0.0,0.0
2,hotel_1,2024-09-18,google,cpc,(not set),2.0,259.0,273.0,google,59.0,59.0
3,hotel_1,2024-09-18,google,cpc,(organic),14.0,17.0,21.0,google,6.0,6.0
4,hotel_1,2024-09-18,google,cpc,campaign_15,6.0,99.0,105.0,google,18.0,19.0
5,hotel_1,2024-09-18,google,cpc,campaign_16,7.0,67.0,76.0,google,23.0,25.0
6,hotel_1,2024-09-18,google,cpc,campaign_17,8.0,54.0,58.0,google,5.0,6.0
7,hotel_1,2024-09-18,google,cpc,campaign_19,13.0,15.0,24.0,google,6.0,11.0
8,hotel_1,2024-09-18,google,cpc,campaign_20,17.0,13.0,17.0,google,3.0,3.0
9,hotel_1,2024-09-18,google,cpc,campaign_22,19.0,11.0,14.0,google,4.0,4.0
10,hotel_1,2024-09-18,google,cpc,campaign_23,24.0,10.0,10.0,google,3.0,3.0
11,hotel_1,2024-09-18,google,cpc,campaign_24,21.0,9.0,14.0,google,2.0,2.0
12,hotel_1,2024-09-18,google,cpc,campaign_25,25.0,7.0,9.0,google,1.0,1.0
13,hotel_1,2024-09-18,google,cpc,campaign_26,30.0,6.0,8.0,google,4.0,5.0
14,hotel_1,2024-09-18,google,cpc,campaign_27,35.0,5.0,5.0,google,0.0,0.0
15,hotel_1,2024-09-18,google,cpc,campaign_30,38.0,3.0,4.0,google,1.0,1.0
16,hotel_1,2024-09-18,google,cpc,campaign_34,64.0,1.0,1.0,google,1.0,1.0
17,hotel_1,2024-09-18,google,cpc,hu_brand,5.0,97.0,114.0,google,30.0,34.0
18,hotel_1,2024-09-18,google,cpc,hu_pmax_brand,9.0,41.0,43.0,google,8.0,9.0
19,hotel_1,2024-09-18,google,cpc,utm_campaign,33.0,4.0,6.0,google,1.0,1.0
20,hotel_1,2024-09-18,google,organic,(not set),92.0,4.0,4.0,no_cpc,0.0,0.0
21,hotel_1,2024-09-18,google,organic,(organic),3.0,144.0,170.0,no_cpc,37.0,40.0
